ticker,TMRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-24,300.0
2000-09-13,-92.0
2000-11-02,0.0
2000-11-16,0.0
2001-03-19,0.0
2001-04-20,400.0
2001-05-14,-90.0
2001-05-18,-50.0
2001-12-12,0.0
2001-12-27,300.0
2001-12-31,-75.0
2002-06-14,700.0
2002-07-29,0.0
2002-12-17,-90.0
2002-12-26,900.0
2003-01-03,50.0
2003-01-13,-66.6667
2003-01-17,100.0
2003-01-21,50.0
2003-01-23,33.3333
2003-02-11,0.0
2003-03-05,75.0
2003-05-14,-85.7143
2003-06-30,700.0
2003-07-14,-75.0
2003-07-17,25.0
2003-07-29,0.0
2003-07-31,-20.0
2003-08-20,25.0
2003-09-04,-60.0
2003-09-09,100.0
2003-10-07,0.0
2003-10-27,-99.375
2003-11-13,39900.0
2003-11-14,0.0
2003-11-17,60.0
2003-11-18,50.0
2003-11-19,-25.0
2003-11-20,0.0
2003-12-01,177.7778
2003-12-04,-12.0
2003-12-16,13.6364
2003-12-18,0.0
2003-12-19,-8.0
2003-12-24,95.6522
2003-12-26,0.0
2003-12-29,-22.2222
2003-12-31,0.0
2004-01-12,-71.4286
2004-01-23,0.0
2004-01-30,0.0
2004-02-10,0.0
2004-03-02,350.0
2004-03-10,-77.7778
2004-03-15,350.0
2004-03-16,-75.5556
2004-03-24,-9.0909
2004-03-31,50.0
2004-04-16,13.3333
2004-04-27,-11.7647
2004-04-28,0.0
2004-05-10,0.0
2004-05-12,0.0
2004-05-27,0.0
2004-07-21,-13.3333
2004-07-22,-30.7692
2004-07-26,-44.4444
2004-07-28,0.0
2004-10-11,-40.0
2004-11-23,233.3333
2004-12-13,0.0
2004-12-27,-69.0
2004-12-31,222.5806
2005-01-26,-70.0
2005-02-03,0.0
2005-02-11,0.0
2005-02-24,0.0
2005-04-04,0.0
2005-05-24,-33.3333
2005-05-25,25.0
2005-06-10,100.0
2005-07-28,-60.0
2005-08-12,150.0
2005-08-15,0.0
2005-09-09,20.0
2005-09-12,33.3333
2005-09-22,-12.5
2005-10-03,0.0
2005-10-04,42.8571
2005-11-21,0.0
2005-11-23,0.0
2005-12-07,-30.0
2006-01-20,0.0
2006-01-25,42.8571
2006-02-01,0.0
2006-02-02,-30.0
2006-02-08,42.8571
2006-02-17,0.0
2006-03-13,-20.0
2006-03-14,25.0
2006-03-15,0.0
2006-03-20,70.0
2006-03-29,0.0
2006-03-31,-35.2941
2006-04-06,45.4545
2006-04-17,0.0
2006-05-03,87.5
