ticker,CATN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-26,590.0
2019-04-24,40.9058
2019-05-01,3.8827
2019-06-05,73.2673
2019-06-25,-60.0
2019-06-27,71.4286
2019-07-16,6.6667
2019-09-17,11.7187
2019-09-18,9.0909
2019-10-23,4.4872
2019-11-18,5.5215
2019-11-21,4.0698
2019-11-25,11.1732
2019-12-02,10.5528
2019-12-19,1.3636
2019-12-23,1.7936999999999999
2019-12-24,31.2775
2019-12-26,-14.4262
2020-02-03,-1.9646
2020-03-02,4.0
2020-05-08,-61.5385
2020-05-11,41.0
2020-05-12,40.4255
2020-05-13,36.3636
2020-05-14,-59.2593
2020-05-15,145.4545
2020-07-28,48.1481
