ticker,UNEQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-27,-6.6667
2014-05-28,7.1429
2014-05-29,10.0
2014-05-30,809.0909
2014-06-02,0.0
2014-07-07,16.6667
2014-07-08,0.0
2014-07-09,14.2857
2014-07-10,0.0
2014-07-11,-25.0
2014-07-21,-16.6667
2014-07-22,-20.0
2014-07-24,-25.0
2014-07-25,0.0
2014-07-28,0.0
2014-07-29,33.3333
2014-07-30,-25.0
2014-07-31,-6.6667
2014-08-01,7.1429
2014-08-04,0.0
2014-08-05,0.0
2014-08-11,13.3333
2014-08-12,2.9412000000000003
2014-08-13,14.2857
2014-08-14,0.0
2014-08-15,5.0
2014-08-18,0.0
2014-08-19,-4.7024
2014-08-21,-0.0625
2014-08-25,45.0
2014-08-26,0.0
2014-08-27,3.4483
2014-08-28,-8.3333
2014-09-05,-32.7273
2014-09-08,0.0
2014-09-09,16.2162
2014-09-12,0.0
2014-09-15,-2.3256
2014-09-24,-9.4643
2014-10-10,0.0
2014-10-13,0.0
2014-10-15,0.0
2014-10-16,0.0
2014-10-22,0.0
2014-10-27,-7.9553
2014-10-28,0.0
2014-12-02,-28.5714
2014-12-15,0.0
2014-12-16,0.0
2014-12-18,10.0
2015-01-06,0.0
2015-01-09,-20.0
2015-01-22,63.6364
2015-01-29,11.1111
2015-03-16,20.0
2015-03-17,-16.6667
2015-03-23,0.0
2015-03-30,20.0
2015-04-10,-25.0
2015-04-22,11.1111
2015-05-26,-20.0
2015-06-15,21.875
2015-07-01,0.0
2015-08-24,-25.641
2015-08-25,-13.7931
2015-08-26,44.0
2015-09-02,0.0
2015-09-21,0.0
2015-10-07,5.5556
2015-10-12,0.0
2015-10-15,102.6316
2015-10-22,-48.0519
2015-11-30,-20.0
2015-12-11,0.2344
2015-12-17,24.7077
2015-12-21,5.0
2015-12-24,0.0
2016-01-05,0.0
2016-01-20,-4.7619
2016-02-01,45.0
2016-02-19,-17.2414
2016-02-22,-1.0417
2016-04-05,-20.0
2016-04-06,26.3158
2016-04-08,0.0
2016-04-15,-16.6667
2016-04-18,-7.5
2016-04-19,-2.7027
2016-04-20,11.1111
2016-04-21,-12.5
2016-04-22,2.8571
2016-04-25,-6.3889
2016-04-26,6.8248999999999995
2016-04-27,-5.5556
2016-04-29,5.8824
2016-05-09,0.0
2016-05-11,5.5556
2016-05-12,5.1974
2016-05-16,0.0
2016-05-23,-9.9437
2016-05-26,5.5556
2016-05-27,0.0
2016-06-01,0.0
2016-06-02,-5.2632
