ticker,BRKS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.5758
2000-01-04,-5.4054
2000-01-05,-1.0204
2000-01-06,-0.2062
2000-01-07,0.4132
2000-01-10,3.4979
2000-01-11,5.7654
2000-01-12,4.8872
2000-01-13,10.9319
2000-01-14,5.0081
2000-01-18,4.6154
2000-01-19,8.5294
2000-01-20,-6.5041
2000-01-21,18.5507
2000-01-24,0.489
2000-01-25,-0.9732
2000-01-26,3.9312
2000-01-27,2.9551
2000-01-28,-1.7222
2000-01-31,-4.6729
2000-02-01,5.8211
2000-02-02,0.0579
2000-02-03,2.5463
2000-02-04,4.7404
2000-02-07,7.3276
2000-02-08,2.008
2000-02-09,1.8700999999999999
2000-02-10,3.285
2000-02-11,1.4032
2000-02-14,-6.2731
2000-02-15,-8.2677
2000-02-16,4.721
2000-02-17,0.2049
2000-02-18,-0.5112
2000-02-22,-7.297
2000-02-23,7.7605
2000-02-24,2.2634
2000-02-25,-0.6036
2000-02-28,8.0972
2000-02-29,8.2397
2000-03-01,4.3253
2000-03-02,0.995
2000-03-03,-1.8062
2000-03-06,7.0234
2000-03-07,-1.7187999999999999
2000-03-08,-3.3386
2000-03-09,4.9342
2000-03-10,-7.21
2000-03-13,-1.3514
2000-03-14,2.0548
2000-03-15,-5.8725000000000005
2000-03-16,1.7825
2000-03-17,7.5306
2000-03-20,-9.772
2000-03-21,-0.5415
2000-03-22,5.8076
2000-03-23,0.1715
2000-03-24,2.0548
2000-03-27,-3.3557
2000-03-28,-3.9931
2000-03-29,-4.5208
2000-03-30,-11.7424
2000-03-31,7.2961
2000-04-03,-1.7
2000-04-04,-1.6277
2000-04-05,3.2058
2000-04-06,10.6212
2000-04-07,3.9855
2000-04-10,-2.8746
2000-04-11,5.4709
2000-04-12,-3.4013999999999998
2000-04-13,0.1761
2000-04-14,-12.3023
2000-04-17,11.022
2000-04-18,22.0217
2000-04-19,1.0355
2000-04-20,-2.3426
2000-04-24,-5.3972999999999995
2000-04-25,12.2029
2000-04-26,-7.6271
2000-04-27,6.1162
2000-04-28,3.3862
2000-05-01,-4.3902
2000-05-02,-1.3848
2000-05-03,-5.3954
2000-05-04,4.5313
2000-05-05,1.0836999999999999
2000-05-08,-7.2828
2000-05-09,-5.2632
2000-05-10,-6.9865
2000-05-11,2.0814
2000-05-12,-3.5461
2000-05-15,6.4338
2000-05-16,2.2453
2000-05-17,-2.7027
2000-05-18,-8.1597
2000-05-19,-6.9943
2000-05-22,-2.439
