ticker,OWPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-16,-21.1765
2018-11-19,-25.3731
2018-11-27,-20.0
2018-11-29,77.0833
2018-12-03,0.0
2018-12-04,-41.1765
2018-12-06,-4.0
2018-12-07,45.8333
2018-12-10,-42.8571
2018-12-12,25.0
2018-12-18,32.0
2018-12-21,-11.3636
2019-01-03,36.7521
2019-01-09,0.0
2019-01-11,-6.25
2019-01-15,34.0
2019-01-16,0.4975
2019-01-17,-0.9901
2019-01-22,0.0
2019-01-23,12.5
2019-01-29,-4.4444
2019-01-31,-4.6512
2019-02-01,-9.7561
2019-02-04,8.1081
2019-02-05,0.0
2019-02-06,5.0
2019-02-07,33.3333
2019-02-13,25.0
2019-02-19,-14.2857
2019-02-20,0.0
2019-02-22,-26.6667
2019-02-25,4.5455
2019-02-26,-13.0435
2019-02-27,60.0
2019-02-28,-6.25
2019-03-01,-3.3333
2019-03-04,27.5862
2019-03-05,3.5135
2019-03-06,4.4386
2019-03-07,-4.25
2019-03-08,1.8277
2019-03-11,0.0
2019-03-12,2.5641
2019-03-13,2.5
2019-03-14,-1.4634
2019-03-15,1.4851
2019-03-18,-2.439
2019-03-21,-2.25
2019-03-22,2.3018
2019-03-25,0.125
2019-03-26,-8.8639
2019-03-27,1.3699
2019-04-03,-2.7027
2019-04-08,4.1667
2019-04-10,-6.6667
2019-04-18,0.8571
2019-04-23,0.5666
2019-04-24,0.0
2019-04-29,0.0
2019-04-30,0.0
2019-05-02,-1.4085
2019-05-08,-0.5714
2019-05-10,-13.7931
2019-05-13,0.0
2019-05-14,-10.0
2019-05-15,-14.8148
2019-05-16,-1.3043
2019-05-20,18.9427
2019-05-21,9.2593
2019-05-22,1.6949
2019-05-24,7.6667
2019-05-30,5.2632
2019-06-03,-4.7059
2019-06-06,6.4815
2019-06-07,0.0
2019-06-10,0.0
2019-06-14,1.4493
2019-06-20,0.0
2019-07-12,-1.4285999999999999
2019-07-15,0.0
2019-07-17,-13.0435
2019-07-19,29.0
2019-07-24,0.0
2019-07-31,-5.6848
2019-08-02,1.3699
2019-08-20,8.1081
2019-09-10,-5.0
2019-09-19,-7.8947
2019-09-23,8.5714
2019-10-01,-50.0
2019-10-02,-2.6316
2019-10-03,0.0
2019-10-07,0.2703
2019-10-18,2.4259
2019-10-21,0.0
2019-10-24,5.2579
2019-10-28,25.0063
2019-10-29,0.0
2019-10-30,-6.0
2019-10-31,-4.2553
2019-11-01,2.2222
2019-11-04,8.6957
