ticker,ZHUD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-27,0.0
2009-10-29,0.0
2009-10-30,0.0
2009-11-02,0.0
2009-11-06,0.0
2009-11-09,0.0
2009-11-10,0.0
2009-11-13,0.0
2009-11-16,0.0
2009-11-17,0.0
2009-11-20,0.0
2009-12-03,0.0
2009-12-08,0.0
2009-12-10,3.3333
2009-12-15,0.0
2009-12-16,1.6129
2009-12-17,-1.5873
2009-12-18,1.6129
2010-01-05,14.2857
2010-01-06,5.5556
2010-01-11,2.6316
2010-01-12,2.5641
2010-01-15,2.5
2010-01-19,0.0
2010-01-20,0.0
2010-01-25,0.0
2010-02-02,-2.439
2010-02-03,2.5
2010-02-11,0.0
2010-02-12,0.0
2010-02-17,0.0
2010-02-22,0.0
2010-02-24,1.2195
2010-02-26,-1.2048
2010-03-02,0.0
2010-03-03,9.7561
2010-03-05,-8.8889
2010-03-16,-7.3171
2010-03-17,0.0
2010-03-19,0.0
2010-03-24,2.6316
2010-03-26,-10.2564
2010-03-29,0.0
2010-04-01,14.2857
2010-04-08,-12.5
2010-04-09,0.0
2010-04-20,-14.2857
2010-04-21,0.0
2010-04-22,0.0
2010-04-26,0.0
2010-04-27,0.0
2010-04-29,3.3333
2010-05-05,-6.4516
2010-05-06,3.4483
2010-05-11,0.0
2010-05-12,0.0
2010-05-21,0.0
2010-05-24,0.0
2010-05-26,0.0
2010-06-03,0.0
2010-06-07,0.0
2010-06-08,0.0
2010-06-14,0.0
2010-06-15,0.0
2010-06-18,0.0
2010-06-24,0.0
2010-06-25,0.0
2010-06-30,0.0
2010-07-07,3.3333
2010-07-09,-3.2258
2010-07-15,0.0
2010-07-26,0.0
2010-07-28,0.0
2010-08-04,0.0
2010-08-05,0.0
2010-08-09,0.0
2010-08-10,0.0
2010-08-16,0.0
2010-08-19,0.0
2010-08-31,-20.0
2010-09-01,8.3333
2010-09-03,0.0
2010-09-07,0.0
2010-09-08,0.0
2010-09-09,-7.6923
2010-09-10,4.1667
2010-09-13,4.0
2010-09-14,0.0
2010-09-15,0.0
2010-09-16,0.0
2010-09-17,-23.0769
2010-09-20,0.0
2010-09-21,10.0
2010-09-22,0.0
2010-09-23,0.0
2010-09-24,0.0
2010-09-28,0.0
2010-09-30,-9.0909
2010-10-01,30.0
2010-10-05,-15.3846
2010-10-06,0.0
2010-10-18,-9.0909
2010-10-19,0.0
2010-10-21,10.0
2010-10-22,-9.0909
2010-10-27,0.0
2010-11-03,0.0
2010-11-10,0.0
