ticker,CZBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-25,-14.2857
2005-06-02,16.6667
2005-06-03,-5.4286
2005-07-06,-2.719
2005-07-11,10.2484
2005-07-27,-7.0423
2005-08-10,-3.0303
2005-09-01,3.125
2005-09-02,4.5455
2005-09-06,1.4493
2005-09-29,0.2857
2005-11-28,0.0
2006-02-02,-6.1584
2006-02-06,6.25
2006-02-07,2.9412000000000003
2006-02-27,-2.8571
2006-03-01,1.4706000000000001
2006-03-03,0.8696
2006-12-11,2.0115
2007-03-23,-2.7858
2007-03-30,4.4776
2007-08-08,-11.4286
2007-08-15,-9.6774
2007-08-28,13.5714
2007-08-30,0.0
2007-09-05,19.4969
2007-10-01,17.1053
2007-10-09,-3.3708
2007-10-12,-4.6512
2007-10-15,0.0
2007-10-17,-1.9512
2007-10-23,4.4776
2007-11-13,2.3810000000000002
2007-11-15,-6.9767
2007-12-03,1.5
2007-12-10,1.0345
2007-12-13,-11.750399999999999
2007-12-14,17.4033
2007-12-18,-22.352899999999998
2007-12-19,5.7576
2007-12-20,0.2865
2007-12-21,8.5714
2008-01-09,-14.473700000000001
2008-01-14,-6.1538
2008-02-04,2.0408
2008-02-05,5.0
2008-02-06,0.0
2008-02-07,-11.1111
2008-02-28,7.1429
2008-09-09,21.0
2008-10-13,-39.3333
2008-10-16,29.8701
2008-11-04,0.0
2008-12-10,-42.3077
2008-12-12,26.6667
2009-01-06,-16.2011
2009-01-22,23.3333
2009-04-03,-24.3243
2009-04-06,0.0
2009-04-07,0.0
2009-04-15,28.5714
2009-04-17,-22.0
2009-04-20,3.9886
2009-05-01,105.4795
2009-05-26,-20.0
2009-06-29,-16.5833
2009-06-30,0.0
2009-07-07,-17.5824
2009-07-31,33.3333
2009-08-12,9.0909
2009-08-17,0.0
2009-08-18,0.0
2009-08-25,-8.3333
2009-08-31,0.0
2009-09-01,0.0
2009-09-03,0.0
2009-09-04,0.0
2009-11-05,0.0
2009-12-14,38.6364
2009-12-24,-9.699
2010-02-03,-12.8889
2010-10-21,-23.4694
2010-11-16,0.0
2010-11-23,0.0
2010-12-16,0.0
2010-12-27,9.447
2011-01-03,5.3684
2011-01-18,-10.0899
2011-01-27,11.2222
2011-02-01,-0.0999
2011-02-24,-10.0
2011-03-25,5.5556
2011-03-30,18.4211
2011-04-04,24.4444
2011-04-05,-0.0714
2011-05-23,-35.6683
2011-07-22,-5.4444
2011-07-28,0.0
2011-08-26,15.7462
2011-10-03,-13.6041
