ticker,TUFN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-11,36.4286
2019-04-12,9.9476
2019-04-15,-1.9048
2019-04-16,3.1553
2019-04-17,5.8824
2019-04-18,-2.0889
2019-04-22,3.6768
2019-04-23,0.7005
2019-04-24,5.5217
2019-04-25,-0.1236
2019-04-26,-5.1155
2019-04-29,-2.3913
2019-04-30,-0.1336
2019-05-01,-3.6574
2019-05-02,-0.8333
2019-05-03,4.1083
2019-05-06,2.2422
2019-05-07,0.7895
2019-05-08,-2.5674
2019-05-09,-2.6351
2019-05-10,1.5138
2019-05-13,-2.8468
2019-05-14,3.5814
2019-05-15,6.8253
2019-05-16,-1.6814
2019-05-17,-1.4109
2019-05-20,-3.5559
2019-05-21,1.3489
2019-05-22,0.3993
2019-05-23,-4.9934
2019-05-24,0.093
2019-05-28,0.0929
2019-05-29,1.4392
2019-05-30,2.0137
2019-05-31,0.9421
2019-06-03,-1.4222000000000001
2019-06-04,-1.6682000000000001
2019-06-05,-1.6965
2019-06-06,0.2799
2019-06-07,0.8837
2019-06-10,5.3942
2019-06-11,-0.6999
2019-06-12,-2.3348
2019-06-13,-3.6987
2019-06-14,0.5152
2019-06-17,0.0466
2019-06-18,0.1397
2019-06-19,3.2093
2019-06-20,9.9594
2019-06-21,14.5082
2019-06-24,-4.3665
2019-06-25,-0.6737
2019-06-26,-0.7913
2019-06-27,-0.4937
2019-06-28,-1.1832
2019-07-01,3.2831
2019-07-02,1.5333
2019-07-03,0.5893
2019-07-05,1.4647000000000001
2019-07-08,-1.3713
2019-07-09,3.8053
2019-07-10,2.1854
2019-07-11,0.138
2019-07-12,2.2391
2019-07-15,0.2022
2019-07-16,2.5891
2019-07-17,-1.4748999999999999
2019-07-18,-1.3639000000000001
2019-07-19,-11.7369
2019-07-22,-11.922
2019-07-23,-5.7267
2019-07-24,4.74
2019-07-25,-4.2619
2019-07-26,2.0652
2019-07-29,-1.5288
2019-07-30,0.5023
2019-07-31,-0.8178
2019-08-01,0.0
2019-08-02,-4.3518
2019-08-05,-5.8429
2019-08-06,-1.9329
2019-08-07,1.1929
2019-08-08,-0.0513
2019-08-09,-5.2308
2019-08-12,-1.4069
2019-08-13,-1.2075
2019-08-14,-8.1111
2019-08-15,-4.5949
2019-08-16,1.3942
2019-08-19,-0.9375
2019-08-20,3.4699999999999998
2019-08-21,6.1585
2019-08-22,3.2165
2019-08-23,-3.7284
2019-08-26,0.9249
2019-08-27,-0.5727
2019-08-28,-0.7488
