ticker,EBSB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-23,-4.0
2008-01-24,-0.5208
2008-01-25,0.1047
2008-01-28,0.2092
2008-01-29,-1.0438
2008-01-30,0.211
2008-01-31,1.0526
2008-02-01,1.5625
2008-02-04,-1.2308
2008-02-05,-1.4538
2008-02-06,0.3161
2008-02-07,-0.1064
2008-02-08,-0.1038
2008-02-11,0.0
2008-02-12,1.2631999999999999
2008-02-13,-0.104
2008-02-14,0.3122
2008-02-15,-1.4523
2008-02-19,0.9474
2008-02-20,-0.3128
2008-02-21,-0.523
2008-02-22,0.0
2008-02-25,0.4206
2008-02-26,0.2094
2008-02-27,0.3135
2008-02-28,-0.5208
2008-02-29,0.3141
2008-03-03,-0.2088
2008-03-04,0.3138
2008-03-05,0.1043
2008-03-06,-0.5208
2008-03-07,-0.733
2008-03-10,0.211
2008-03-11,-0.1053
2008-03-12,0.3161
2008-03-13,0.0
2008-03-14,0.2101
2008-03-17,-1.0482
2008-03-18,0.6356
2008-03-19,0.0
2008-03-20,0.1053
2008-03-24,0.9464
2008-03-25,0.1042
2008-03-26,0.9365
2008-03-27,-1.3402
2008-03-28,0.3135
2008-03-31,1.7708
2008-04-01,1.1259000000000001
2008-04-02,0.7085
2008-04-03,0.402
2008-04-04,-0.2002
2008-04-07,0.3009
2008-04-08,0.0
2008-04-09,0.0
2008-04-10,-1.5
2008-04-11,-1.5228000000000002
2008-04-14,-0.5155
2008-04-15,0.4145
2008-04-16,0.4128
2008-04-17,0.5139
2008-04-18,2.2495
2008-04-22,-0.4
2008-04-23,-0.6024
2008-04-24,0.404
2008-04-25,-1.206
2008-04-28,1.017
2008-04-29,-0.2016
2008-04-30,0.0
2008-05-01,0.9091
2008-05-02,2.1021
2008-05-05,0.6863
2008-05-06,-0.0974
2008-05-07,-0.4873
2008-05-08,-1.0774
2008-05-09,-0.495
2008-05-12,0.597
2008-05-13,0.2967
2008-05-14,0.3945
2008-05-15,-0.2947
2008-05-16,-0.0985
2008-05-19,0.5917
2008-05-20,-0.1961
2008-05-21,-0.2947
2008-05-22,-1.3793
2008-05-23,0.8991
2008-05-27,0.7921
2008-05-28,-0.1965
2008-05-29,0.1969
2008-05-30,1.3752
2008-06-02,-0.1938
2008-06-03,0.4854
2008-06-04,0.1932
2008-06-05,-0.2893
2008-06-06,-0.8704
2008-06-09,-0.3902
2008-06-10,0.6856
2008-06-11,0.0
2008-06-12,0.0973
2008-06-13,-0.0972
2008-06-16,-0.0486
