ticker,JTCMF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-08-09,-5.8824
2001-05-04,187.5
2001-05-07,4.3478
2001-05-08,2.0833
2001-05-24,-20.4082
2001-05-25,-10.2564
2001-06-15,-20.0
2001-06-18,-7.1429
2001-07-23,-43.8462
2001-07-24,-12.3288
2001-10-11,-95.0195
2002-07-30,370.5882
2004-11-16,33.3333
2005-01-20,-50.0
2005-09-26,-60.0
2005-12-28,-50.0
2006-11-13,5800.0
2006-12-28,10.1695
2007-01-22,0.0
2007-02-09,5.625
2007-02-12,4.142
2007-03-12,48.7325
2007-05-08,16.603
2007-05-11,-4.4355
2007-05-25,-19.8312
2007-06-11,-20.7237
2007-06-14,46.805
2007-07-20,-31.2606
2008-03-24,-54.7286
2009-09-08,-18.0745
2010-04-07,-2.6608
2010-05-12,43.2802
2010-07-06,-9.221
2010-08-05,-17.338
2011-02-25,-27.1186
2011-04-29,46.9477
2011-05-02,8.4075
2011-05-04,14.5985
2011-05-18,-8.2803
2011-05-19,7.6389
2011-07-19,-18.4677
2011-07-27,58.0613
2012-02-07,-59.7622
2012-02-08,-12.4417
2012-05-08,-0.5329
2012-09-13,-85.7143
2012-11-21,-50.0
2014-10-02,-95.0
2016-03-22,700.0
2016-05-20,900.0
2016-06-01,0.0
2016-06-27,0.0
2016-07-20,100.0
2016-07-21,900.0
2016-07-22,0.0
2016-07-25,50.0
2016-07-26,-56.6667
2016-07-27,15.3846
2016-07-28,-66.6667
2016-07-29,180.0
2016-08-01,-7.1429
2016-08-02,-7.6923
2016-08-03,0.0
2016-08-04,376.6667
2016-08-05,57.3427
2016-08-09,-91.1111
2016-08-10,75.0
2016-08-11,21.4286
2016-08-12,11.7647
2016-08-15,42.1053
2016-08-16,-25.9259
2016-08-17,15.0
2016-08-18,-34.7826
2016-08-19,-26.6667
2016-08-22,9.0909
2016-08-23,-25.0
2016-08-24,11.1111
2016-08-25,-45.0
2016-08-26,9.0909
2016-08-29,-16.6667
2016-08-30,0.0
2016-08-31,-40.0
2016-09-01,0.0
2016-09-02,66.6667
2016-09-06,-30.0
2016-09-07,-11.4286
2016-09-08,29.0323
2016-09-09,-7.5
2016-09-12,-18.9189
2016-09-13,16.6667
2016-09-14,-14.2857
2016-09-15,-15.0
2016-09-16,-1.9607999999999999
2016-09-19,0.0
2016-09-20,-20.0
2016-09-21,25.0
2016-09-22,0.0
2016-09-23,-20.0
2016-09-26,25.0
2016-09-27,12.0
2016-09-28,-10.7143
2016-09-29,-20.0
