ticker,WRB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.6946
2000-01-04,-3.0769
2000-01-05,-1.5873
2000-01-06,5.8065
2000-01-07,-1.5244
2000-01-10,-0.9288
2000-01-11,-1.5625
2000-01-12,-0.3175
2000-01-13,-0.6369
2000-01-14,-1.9231
2000-01-18,1.634
2000-01-19,0.9646
2000-01-20,-5.414
2000-01-21,-2.3569
2000-01-24,2.069
2000-01-25,-8.1081
2000-01-26,5.5147
2000-01-27,1.7422
2000-01-28,-3.7671
2000-01-31,-1.0676
2000-02-01,-0.7194
2000-02-02,0.0
2000-02-03,-0.3623
2000-02-04,-1.0909
2000-02-07,-1.4706000000000001
2000-02-08,-1.1194
2000-02-09,-4.5283
2000-02-10,-1.9763
2000-02-11,-1.2097
2000-02-14,-0.4082
2000-02-15,-1.6393
2000-02-16,0.0
2000-02-17,1.6667
2000-02-18,0.4098
2000-02-22,4.898
2000-02-23,-1.9455
2000-02-24,0.0
2000-02-25,3.9683
2000-02-28,-1.9083999999999999
2000-02-29,0.0
2000-03-01,-2.7237
2000-03-02,0.0
2000-03-03,-1.6
2000-03-06,0.0
2000-03-07,-2.6423
2000-03-08,-2.2965
2000-03-09,0.8547
2000-03-10,1.6949
2000-03-13,-1.6667
2000-03-14,0.8475
2000-03-15,0.4202
2000-03-16,7.113
2000-03-17,-0.75
2000-03-20,1.1905000000000001
2000-03-21,2.7451
2000-03-22,0.0
2000-03-23,3.0534
2000-03-24,4.8148
2000-03-27,1.0601
2000-03-28,0.0
2000-03-29,7.3427
2000-03-30,15.9609
2000-03-31,3.6517
2000-04-03,-0.271
2000-04-04,-1.6303999999999998
2000-04-05,-2.7624
2000-04-06,0.2841
2000-04-07,1.0623
2000-04-10,-0.7708
2000-04-11,-0.2825
2000-04-12,-1.6997
2000-04-13,-0.2882
2000-04-14,-4.9133
2000-04-17,2.4316
2000-04-18,-0.2967
2000-04-19,-1.1905000000000001
2000-04-20,0.3012
2000-04-24,0.3003
2000-04-25,2.9939999999999998
2000-04-26,-1.4535
2000-04-27,-0.885
2000-04-28,0.5952
2000-05-01,4.142
2000-05-02,0.8523
2000-05-03,-0.5634
2000-05-04,-0.8499
2000-05-05,1.1429
2000-05-08,-2.5423999999999998
2000-05-09,0.0
2000-05-10,-2.6087
2000-05-11,2.0833
2000-05-12,2.6239
2000-05-15,2.8409
2000-05-16,-1.3812
2000-05-17,-3.3613
2000-05-18,-0.5797
2000-05-19,-0.8746
2000-05-22,1.7647
