ticker,NMRD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-19,300.0
2014-12-22,0.0
2014-12-23,0.0
2014-12-24,150.0
2014-12-29,60.0
2014-12-30,0.0
2014-12-31,18.75
2015-01-14,-15.7895
2015-02-18,-31.25
2015-02-19,-36.3636
2015-02-26,-28.5714
2015-02-27,-18.0
2015-03-09,26.8293
2015-03-13,-23.0769
2015-05-04,0.0
2015-06-08,0.0
2015-06-25,5.0
2015-06-26,4.7619
2015-08-19,-18.1818
2015-09-03,122.2222
2015-09-29,0.0
2015-11-27,-87.4938
2015-11-30,299.8001
2015-12-01,40.0
2015-12-02,0.0
2015-12-03,-10.7143
2015-12-07,20.0
2015-12-10,16.6667
2016-03-04,20.0
2016-03-17,-14.2857
2016-04-22,-16.6667
2016-05-04,0.0
2016-06-01,16.6667
2016-06-27,13.7143
2016-06-28,0.0
2016-06-29,-2.0101
2016-07-01,0.0
2016-07-05,0.0
2016-07-27,-2.5641
2016-10-19,-4.7368
2016-11-07,4.9724
2016-11-11,-5.2632
2016-11-21,-5.5556
2016-11-29,-11.7647
2016-12-27,0.0
2017-02-16,-6.6667
2017-02-17,0.0
2017-02-22,0.0
2017-03-24,78.5714
2017-03-27,0.0
2017-03-29,0.0
2017-04-10,-5.6
2017-04-11,10.1695
2017-04-12,7.6923
2017-04-13,7.1429
2017-04-17,-33.3333
2017-04-18,20.0
2017-04-19,14.5833
2017-04-20,13.0909
2017-04-21,2.8939
2017-04-24,9.375
2017-04-25,20.7143
2017-04-26,-7.2189
2017-04-27,-23.4694
2017-04-28,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,13.3333
2017-05-05,10.2941
2017-05-08,33.3333
2017-05-09,32.0
2017-05-10,-2.2727
2017-05-11,24.031
2017-05-12,0.0
2017-05-15,0.0
2017-05-16,-6.25
2017-05-17,-10.6667
2017-05-18,-10.4478
2017-05-19,-3.3333
2017-05-22,0.8621
2017-05-23,-52.9915
2017-05-24,45.4545
2017-05-25,11.5
2017-05-26,40.1345
2017-05-30,4.0
2017-05-31,10.7692
2017-06-01,-13.1944
2017-06-02,-4.0
2017-06-05,-4.3333
2017-06-06,20.2091
2017-06-07,-22.4638
2017-06-08,6.5421
2017-06-09,-2.6316
2017-06-12,8.1081
2017-06-13,2.6667
2017-06-14,2.2727
2017-06-15,-7.9365
2017-06-16,3.4483
2017-06-19,8.3333
2017-06-20,-7.6923
2017-06-21,-7.5
2017-06-22,-4.5045
