ticker,INVS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-23,175.0
2012-06-07,29.0909
2013-03-25,-22.5352
2013-07-03,400.0
2013-07-05,9.0909
2013-07-08,83.3333
2013-07-09,3.6364
2013-07-10,40.3509
2013-07-11,-12.5
2013-07-15,4.2857
2013-07-17,5.4795
2013-07-22,-9.0909
2013-08-02,0.7143
2013-08-06,22.3404
2013-08-07,1.7391
2013-08-08,-5.9829
2013-08-09,-9.0909
2013-08-12,-35.0
2013-08-13,23.0769
2013-08-14,32.5
2013-08-15,3.7736
2013-08-16,4.5455
2013-08-19,-3.4783
2013-08-20,9.009
2013-08-21,6.6116
2013-08-22,-4.6512
2013-08-23,-10.5691
2013-08-26,4.5455
2013-08-27,-0.8696
2013-08-28,-8.7719
2013-08-29,6.7308
2013-08-30,-3.6036
2013-09-03,2.8037
2013-09-04,0.0
2013-09-05,0.0
2013-09-06,-9.0909
2013-09-09,5.0
2013-09-10,0.0
2013-09-11,-4.7619
2013-09-12,1.0
2013-09-17,0.9901
2013-09-18,-1.9607999999999999
2013-09-19,9.0
2013-09-20,-3.6696999999999997
2013-09-23,3.8095
2013-09-24,10.0917
2013-09-25,4.1667
2013-09-26,-4.0
2013-09-27,1.6667
2013-09-30,-0.8197
2013-10-01,0.8264
2013-10-02,0.0
2013-10-03,0.0
2013-10-04,-0.8197
2013-10-07,3.3058
2013-10-08,-3.2
2013-10-09,2.4793
2013-10-10,-0.8065
2013-10-11,1.626
2013-10-14,-4.0
2013-10-15,3.3333
2013-10-16,2.4194
2013-10-17,-3.1496
2013-10-18,0.0
2013-10-21,0.0
2013-10-22,-0.813
2013-10-23,2.459
2013-10-24,0.0
2013-10-25,0.0
2013-10-28,-1.6
2013-10-29,0.0
2013-10-30,0.813
2013-10-31,3.2258
2013-11-01,6.25
2013-11-04,0.7353
2013-11-05,0.0
2013-11-06,13.1387
2013-11-07,3.871
2013-11-08,6.8323
2013-11-11,0.0
2013-11-12,-1.1628
2013-11-13,5.8824
2013-11-14,22.2222
2013-11-15,-6.8182
2013-11-18,-2.439
2013-11-19,5.0
2013-11-20,-2.3810000000000002
2013-11-21,-4.878
2013-11-22,-2.5641
2013-11-25,0.0
2013-11-26,0.0
2013-11-27,-2.6316
2013-11-29,-0.5405
2013-12-02,-5.9783
2013-12-03,6.9364
2013-12-04,2.7027
2013-12-05,5.2632
2013-12-06,-5.0
2013-12-09,2.6316
2013-12-10,-4.6154
2013-12-11,7.5269
2013-12-12,20.0
