ticker,APEI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-09,79.6
2007-11-12,-7.5724
2007-11-13,5.753
2007-11-14,-0.1709
2007-11-15,-2.9957000000000003
2007-11-16,-0.7647
2007-11-19,0.9188
2007-11-20,4.1116
2007-11-21,0.7898
2007-11-23,2.1271
2007-11-26,6.0016
2007-11-27,-0.4654
2007-11-28,0.6494
2007-11-29,4.9032
2007-11-30,4.0836
2007-12-03,0.6854
2007-12-04,-1.4085
2007-12-05,1.9048
2007-12-06,1.1215
2007-12-07,-1.0166
2007-12-10,-8.38
2007-12-11,1.9108
2007-12-12,1.125
2007-12-13,-1.2114
2007-12-14,7.5576
2007-12-17,-6.8404
2007-12-18,-0.0999
2007-12-19,1.55
2007-12-20,-2.0187
2007-12-21,0.5025
2007-12-24,10.0
2007-12-26,4.5455
2007-12-27,-7.2826
2007-12-28,-4.1266
2007-12-31,2.1766
2008-01-02,-3.5902
2008-01-03,0.2979
2008-01-04,-0.9901
2008-01-07,0.0
2008-01-08,-0.2
2008-01-09,6.989
2008-01-10,0.6556
2008-01-11,-2.2331
2008-01-14,4.6633
2008-01-15,-3.8418
2008-01-16,3.8298
2008-01-17,-3.3015
2008-01-18,-5.7923
2008-01-22,3.5741
2008-01-23,6.3948
2008-01-24,-8.3692
2008-01-25,-3.8861
2008-01-28,2.189
2008-01-29,3.3266
2008-01-30,-2.9756
2008-01-31,-0.9301
2008-02-01,1.4971
2008-02-04,1.325
2008-02-05,-3.775
2008-02-06,-2.3333
2008-02-07,0.1313
2008-02-08,-0.5113
2008-02-11,-6.1009
2008-02-12,0.1684
2008-02-13,1.3449
2008-02-14,0.1382
2008-02-15,-0.6074
2008-02-19,-0.3056
2008-02-20,-1.226
2008-02-21,-0.3949
2008-02-22,-0.2832
2008-02-25,-3.4365
2008-02-26,1.2647
2008-02-27,3.1078
2008-02-28,-1.6056
2008-02-29,-4.5806000000000004
2008-03-03,-5.5806000000000004
2008-03-04,5.2431
2008-03-05,-6.7029
2008-03-06,-4.5306999999999995
2008-03-07,-0.0339
2008-03-10,1.6955
2008-03-11,1.3338
2008-03-12,-3.9158
2008-03-13,5.6164
2008-03-14,-4.3774
2008-03-17,-3.7979000000000003
2008-03-18,2.2912
2008-03-19,-3.5148
2008-03-20,1.3929
2008-03-24,13.1384
2008-03-25,-2.8643
2008-03-26,0.8654
2008-03-27,-3.7496
2008-03-28,-1.8157999999999999
2008-03-31,2.1184
2008-04-01,3.8853999999999997
