ticker,INND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-17,20.0
2017-04-13,70.0
2017-04-17,7.8431
2017-04-18,-18.1818
2017-04-19,-11.1111
2017-04-24,-25.0
2017-04-28,0.0
2017-05-02,16.6667
2017-06-12,11.4286
2017-07-12,-11.538499999999999
2017-08-09,1.4493
2017-08-22,-14.2857
2017-09-14,16.6667
2017-09-18,-14.2857
2017-09-19,16.6667
2017-09-21,4.2857
2017-09-25,-12.3288
2017-09-26,9.375
2017-09-27,0.0
2017-10-03,0.0
2017-10-04,14.2857
2017-10-05,-5.0
2017-10-06,-21.0526
2017-10-09,16.6667
2017-10-10,-42.8571
2017-10-11,65.0
2017-10-12,-9.0909
2017-10-13,-30.0
2017-10-16,-3.7619
2017-10-17,43.4933
2017-10-18,-13.7931
2017-10-23,-64.0
2017-10-24,211.1111
2017-10-25,-61.4286
2017-10-26,150.0
2017-11-01,-6.6667
2017-11-03,-0.7937
2017-11-14,0.0
2017-11-15,-20.0
2017-11-16,3.45
2017-11-17,1.4983
2017-11-20,-16.6667
2017-11-21,-2.8571
2017-11-22,-5.8529
2017-11-24,-12.5273
2017-11-27,0.0
2017-11-28,21.4286
2017-11-29,5.8824
2017-11-30,-19.4444
2017-12-01,-20.5172
2017-12-04,77.8742
2017-12-05,-19.0244
2017-12-06,-0.6024
2017-12-07,15.1515
2017-12-08,-6.3158
2017-12-11,-26.9663
2017-12-12,1.5385
2017-12-13,-1.5152
2017-12-14,0.0
2017-12-15,-9.2308
2017-12-18,-4.661
2017-12-19,-20.0
2017-12-20,0.0
2017-12-21,-40.5556
2017-12-22,49.5327
2017-12-26,-3.125
2017-12-27,-16.129
2017-12-28,38.4615
2017-12-29,-2.7778
2018-01-02,-31.4286
2018-01-03,66.6667
2018-01-04,-32.5
2018-01-05,92.5926
2018-01-08,-7.6923
2018-01-09,4.1667
2018-01-10,-4.0
2018-01-11,8.3333
2018-01-12,-9.2308
2018-01-16,-6.7797
2018-01-17,-36.3636
2018-01-18,85.7143
2018-01-19,-22.6923
2018-01-22,-4.7741
2018-01-23,-15.3623
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.679
2018-01-29,-26.4255
2018-01-30,1.6667
2018-01-31,14.7541
2018-02-01,-16.4286
2018-02-02,-2.5641
2018-02-05,43.8596
2018-02-06,-23.1707
2018-02-08,-7.9365
2018-02-09,-0.8621
2018-02-12,4.3478
2018-02-13,0.0
2018-02-14,20.8333
2018-02-15,3.4483
2018-02-16,-29.3333
