ticker,CBAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.0
2000-01-05,-3.7037
2000-01-11,-3.8462
2000-01-13,1.0
2000-01-14,10.8911
2000-01-18,-5.3571
2000-01-19,0.0
2000-01-20,-1.8868
2000-01-24,1.9231
2000-01-25,-1.8868
2000-01-27,0.0
2000-01-31,-2.8846
2000-02-01,-0.9901
2000-02-07,-4.0
2000-02-11,0.0
2000-02-18,0.0
2000-02-25,-4.1667
2000-03-07,0.0
2000-03-08,-2.7174
2000-03-09,9.4972
2000-03-10,0.0
2000-03-16,0.0
2000-03-20,-2.0408
2000-03-21,0.0
2000-04-03,-5.9365
2000-04-04,0.0
2000-04-13,-8.8889
2000-04-14,0.0
2000-04-17,9.7561
2000-04-18,-1.1111
2000-04-19,0.0
2000-04-26,1.1236
2000-04-27,-1.1111
2000-04-28,0.0
2000-05-03,-5.0562
2000-05-05,0.0
2000-05-10,0.0
2000-05-12,6.5089
2000-05-15,11.1111
2000-05-17,-12.0
2000-05-23,0.0
2000-06-15,-3.4091
2000-06-21,0.0
2000-06-22,-1.1764999999999999
2000-06-27,-4.7619
2000-06-29,2.9633000000000003
2000-06-30,17.0732
2000-07-10,-10.4167
2000-07-13,6.9767
2000-07-14,0.0
2000-07-26,-4.3478
2000-07-27,-9.0909
2000-07-28,-5.0
2000-08-02,0.0
2000-08-03,0.0
2000-08-07,0.0
2000-08-10,7.8947
2000-08-11,-2.439
2000-08-17,-5.0
2000-09-01,0.0
2000-09-21,5.2632
2000-09-26,4.375
2000-09-28,-3.7768
2000-09-29,0.0
2000-10-13,17.5
2000-10-16,-1.0638
2000-10-19,-19.3548
2000-10-20,0.0
2000-10-26,0.0
2000-11-02,3.3333
2000-11-03,8.3871
2000-11-07,-7.1429
2000-11-09,-1.2821
2000-11-10,0.0
2000-11-13,-1.2987
2000-11-14,1.3158
2000-11-15,0.0
2000-11-27,3.8961
2000-12-05,0.0
2000-12-15,0.0
2000-12-26,0.0
2000-12-27,-1.9
2000-12-28,2.5641
2000-12-29,0.0
2001-01-05,10.0
2001-01-10,9.0909
2001-01-11,-4.1667
2001-01-12,13.0435
2001-01-22,0.0
2001-02-22,-3.8462
2001-02-26,-4.0
2001-02-28,-13.0208
2001-03-01,10.1796
2001-03-08,-2.1739
2001-03-09,2.2222
2001-03-22,-8.6957
2001-03-29,10.1533
2001-04-03,0.0
2001-04-05,0.0
2001-04-12,4.3478
2001-04-16,6.25
2001-05-01,-5.8824
