ticker,KSSH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-01,17.7778
2007-06-05,39.6226
2007-06-06,18.9189
2007-06-07,-9.0909
2007-06-08,2.5
2007-06-11,-13.4146
2007-06-12,-8.4507
2007-06-13,-7.6923
2007-06-20,23.3333
2007-06-21,0.0
2007-06-25,2.7027
2007-06-26,5.2632
2007-06-27,-2.5
2007-06-28,15.3846
2007-06-29,-8.8889
2007-07-02,99.7561
2007-07-05,30.9524
2007-07-06,-27.2727
2007-07-09,0.0
2007-07-11,12.5
2007-07-12,122.2222
2007-07-13,-10.0
2007-07-16,-22.2222
2007-07-17,7.1429
2007-07-18,-2.6667
2007-07-19,-17.8082
2007-07-20,0.0
2007-07-23,0.0
2007-07-24,0.0
2007-07-25,0.0
2007-07-26,-33.3333
2007-07-27,0.0
2007-07-30,-25.0
2007-07-31,-16.6667
2007-08-01,0.0
2007-08-02,80.0
2007-08-03,0.0
2007-08-06,-22.2222
2007-08-07,-14.2857
2007-08-08,16.6667
2007-08-09,-25.7143
2007-08-15,15.3846
2007-08-16,0.0
2007-08-17,33.3333
2007-08-20,0.0
2007-08-21,0.0
2007-08-23,12.5
2007-08-28,-22.2222
2007-08-29,0.0
2007-08-30,0.0
2007-08-31,14.2857
2007-09-05,0.0
2007-09-06,-7.5
2007-09-07,-18.9189
2007-09-11,30.0
2007-09-12,-23.0769
2007-09-17,0.0
2007-09-18,0.0
2007-09-20,0.0
2007-09-21,16.6667
2007-09-24,0.0
2007-09-26,-14.2857
2007-09-27,0.0
2007-10-01,70.0
2007-10-02,-11.7647
2007-10-03,0.0
2007-10-04,-11.1111
2007-10-05,25.0
2007-10-08,10.0
2007-10-09,-7.2727
2007-10-10,-11.7647
2007-10-11,0.0
2007-10-16,13.3333
2007-10-17,7.8431
2007-10-18,18.1818
2007-10-19,-4.6154
2007-10-22,4.8387
2007-10-23,-7.6923
2007-10-24,6.6667
2007-10-25,-3.125
2007-10-26,3.2258
2007-10-29,0.0
2007-10-30,-3.125
2007-10-31,0.0
2007-11-01,3.2258
2007-11-02,-3.125
2007-11-05,-1.6129
2007-11-06,0.0
2007-11-07,0.0
2007-11-08,-3.2787
2007-11-09,1.6949
2007-11-14,0.0
2007-11-15,0.0
2007-11-16,-15.0
2007-11-20,-11.7647
2007-11-23,22.2222
2007-11-26,-5.4545
2007-11-27,0.0
2007-11-28,-1.9231
2007-11-29,1.9607999999999999
2007-11-30,0.0
2007-12-03,0.0
2007-12-04,-3.8462
