ticker,SCGY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-03-03,60.0
2006-06-12,0.0
2006-06-26,6.25
2006-06-28,0.0
2006-07-21,-40.0
2006-08-01,-41.1765
2006-08-08,16.6667
2006-08-10,-57.1429
2006-08-14,100.0
2006-08-22,0.0
2006-08-23,0.0
2006-08-28,0.0
2006-11-10,0.0
2007-01-18,-66.6667
2007-03-28,200.0
2007-03-29,233.3333
2007-04-17,-89.3
2007-05-21,-0.9346
2007-11-19,-84.9057
2008-05-19,837.5
2008-05-23,0.0
2008-06-19,-0.0667
2008-06-23,-83.3222
2008-12-04,-20.0
2009-06-05,900.0
2009-06-10,50.0
2009-06-17,66.6667
2011-08-09,-99.0
2012-08-30,0.0
2014-06-20,-99.75
2015-04-21,87900.0
2015-05-12,-53.6364
2018-12-14,-41.1765
2019-11-05,3233.3333
2019-11-07,-97.0
