ticker,ARI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-09-24,-7.5
2009-09-25,1.7838
2009-09-28,-1.7525
2009-09-29,-0.1081
2009-09-30,-0.974
2009-10-01,-0.8197
2009-10-02,0.8264
2009-10-05,0.6011
2009-10-06,0.2173
2009-10-07,-1.084
2009-10-08,0.7123
2009-10-09,-0.8705
2009-10-12,-0.6037
2009-10-13,1.8774
2009-10-14,-0.542
2009-10-15,0.8174
2009-10-16,0.3784
2009-10-19,-0.7001
2009-10-20,-0.2169
2009-10-21,-0.4348
2009-10-22,0.7096
2009-10-23,-0.5962
2009-10-26,-0.5998
2009-10-27,-0.384
2009-10-28,-0.7159
2009-10-29,0.2773
2009-10-30,-0.9403
2009-11-02,-0.7259
2009-11-03,1.5186
2009-11-04,1.108
2009-11-05,-0.2192
2009-11-06,-0.6041
2009-11-09,-0.0552
2009-11-10,-1.2713999999999999
2009-11-11,0.6719
2009-11-12,-1.3348
2009-11-13,0.1691
2009-11-16,-0.1125
2009-11-17,-0.2817
2009-11-18,-0.452
2009-11-19,0.0
2009-11-20,-0.9081
2009-11-23,-0.2291
2009-11-24,0.5741
2009-11-25,-0.6849
2009-11-27,-0.6897
2009-11-30,0.0
2009-12-01,0.6944
2009-12-02,0.1724
2009-12-03,0.2295
2009-12-04,0.6869
2009-12-07,0.398
2009-12-08,-0.2265
2009-12-09,0.5108
2009-12-10,0.5647
2009-12-11,-0.2807
2009-12-14,0.8446
2009-12-15,0.1117
2009-12-16,0.0
2009-12-17,-0.0558
2009-12-18,0.4464
2009-12-21,-0.2778
2009-12-22,0.0557
2009-12-23,0.8909
2009-12-24,0.3311
2009-12-28,-0.33
2009-12-29,0.0552
2009-12-30,-0.2206
2009-12-31,-0.5528
2010-01-04,0.8894
2010-01-05,-0.6612
2010-01-06,-0.1664
2010-01-07,0.1667
2010-01-08,0.1664
2010-01-11,0.0554
2010-01-12,-0.6087
2010-01-13,0.0
2010-01-14,-0.0557
2010-01-15,-0.2786
2010-01-19,0.4469
2010-01-20,-0.3337
2010-01-21,-0.7254
2010-01-22,-0.3373
2010-01-25,-0.7332
2010-01-26,0.3977
2010-01-27,-0.5659
2010-01-28,-0.2846
2010-01-29,0.8562
2010-02-01,-0.6791
2010-02-02,-0.3419
2010-02-03,0.1715
2010-02-04,1.7694
2010-02-05,-0.8413
2010-02-08,-0.3394
2010-02-09,0.1703
2010-02-10,-0.7365
2010-02-11,0.742
2010-02-12,1.1898
2010-02-16,0.7839
