ticker,NBY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-26,-9.5
2007-10-29,3.5911999999999997
2007-10-30,1.0667
2007-10-31,2.9024
2007-11-01,2.8205
2007-11-02,-0.2494
2007-11-05,0.0
2007-11-06,-7.5
2007-11-07,4.0541
2007-11-08,-0.2597
2007-11-09,0.2604
2007-11-12,-2.3377
2007-11-13,2.3936
2007-11-14,-0.2597
2007-11-15,1.0417
2007-11-16,-2.0619
2007-11-19,0.0
2007-11-20,-4.4737
2007-11-21,0.551
2007-11-23,-0.5479
2007-11-26,0.0
2007-11-27,1.3774
2007-11-28,-1.3553
2007-11-29,3.3022
2007-11-30,2.4
2007-12-03,-2.0833
2007-12-04,-0.5319
2007-12-05,1.6042999999999998
2007-12-06,0.0
2007-12-07,0.2632
2007-12-10,0.7874
2007-12-11,-1.0417
2007-12-12,-2.6316
2007-12-13,-0.2703
2007-12-14,-3.523
2007-12-17,2.2472
2007-12-18,1.6484
2007-12-19,8.1081
2007-12-20,0.0
2007-12-21,-2.5
2007-12-24,-2.5641
2007-12-26,0.5263
2007-12-27,-0.7853
2007-12-28,0.0
2007-12-31,-0.8179
2008-01-02,1.5962
2008-01-03,4.2158
2008-01-04,-0.7538
2008-01-07,-1.2658
2008-01-08,2.3077
2008-01-09,-1.0025
2008-01-10,-1.5095
2008-01-11,-0.0096
2008-01-14,-2.3104
2008-01-15,-5.2663
2008-01-16,5.5556
2008-01-17,-2.6316
2008-01-18,2.7027
2008-01-22,-2.6349
2008-01-23,0.0034
2008-01-24,1.3514
2008-01-25,-0.5333
2008-01-28,-0.8043
2008-01-29,0.0
2008-01-30,-2.7027
2008-01-31,1.1111
2008-02-01,-2.1944
2008-02-04,-10.112
2008-02-05,6.2458
2008-02-06,-5.886
2008-02-07,-1.5626
2008-02-08,-4.7581
2008-02-11,-3.3333
2008-02-12,5.1681
2008-02-13,4.9182
2008-02-14,-6.2463
2008-02-15,0.0
2008-02-19,-3.3333
2008-02-20,3.4483
2008-02-21,-1.6667
2008-02-22,-1.6949
2008-02-25,-1.7241
2008-02-26,1.7588
2008-02-27,1.7198
2008-02-28,0.0
2008-02-29,-4.4068
2008-03-03,1.4184
2008-03-04,-2.0979
2008-03-05,0.0
2008-03-06,-4.2857
2008-03-07,-3.7359999999999998
2008-03-10,-22.4769
2008-03-11,10.0
2008-03-12,-4.5455
2008-03-13,18.0952
2008-03-14,8.871
2008-03-17,-9.2593
2008-03-18,-8.5714
2008-03-19,11.607099999999999
