ticker,WIMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-01,0.0
2020-04-02,-2.0
2020-04-03,-2.5974
2020-04-06,0.0
2020-04-07,3.5048
2020-04-08,0.9385
2020-04-09,-3.9198
2020-04-13,0.1898
2020-04-14,-0.7576
2020-04-15,-0.3779
2020-04-16,0.1877
2020-04-17,1.1472
2020-04-20,-1.1342
2020-04-21,0.0
2020-04-22,3.2505
2020-04-23,-2.2574
2020-04-24,-1.1008
2020-04-27,-0.1916
2020-04-28,0.382
2020-04-29,0.3843
2020-04-30,0.0
2020-05-01,-7.0476
2020-05-04,-4.5082
2020-05-05,-4.9356
2020-05-06,0.4515
2020-05-07,0.0
2020-05-08,2.2472
2020-05-11,4.3956
2020-05-12,3.1579
2020-05-13,-4.898
2020-05-14,-4.2918
2020-05-15,0.0
2020-05-18,1.1211
2020-05-19,2.8825
2020-05-20,-4.9569
2020-05-21,-12.4717
2020-05-22,-3.6269
2020-05-26,4.5699
2020-05-27,-3.0848
2020-05-28,-3.183
2020-05-29,1.3699
2020-06-01,-3.2432
2020-06-02,-3.0726
2020-06-03,-2.3055
2020-06-04,0.295
2020-06-05,1.4706000000000001
2020-06-08,-1.1594
2020-06-09,3.2258
2020-06-10,5.6818
2020-06-11,-3.7634
2020-06-12,-1.6760000000000002
2020-06-15,0.5682
2020-06-16,-1.9774
2020-06-17,1.4409
2020-06-18,-0.8523
2020-06-19,-0.2865
2020-06-22,0.0
2020-06-23,4.023
2020-06-24,0.5525
2020-06-25,1.6484
2020-06-26,-5.4054
2020-06-29,-2.0
2020-06-30,0.5831
2020-07-01,-0.2899
2020-07-02,0.8721
2020-07-06,2.0173
2020-07-07,-0.565
2020-07-08,-0.5682
2020-07-09,9.7143
2020-07-10,280.9896
2020-07-13,69.1046
2020-07-14,-28.9006
2020-07-15,-6.5947
2020-07-16,9.4948
2020-07-17,-9.4497
2020-07-20,-15.2855
2020-07-21,-10.0725
2020-07-22,6.1241
2020-07-23,-9.2635
2020-07-24,-6.1925
2020-07-27,-34.9688
2020-07-28,1.3717
2020-07-29,3.2476
2020-07-30,-6.6841
2020-07-31,-6.0393
