ticker,JKRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-24,0.0
2018-10-25,0.0
2018-10-26,56.8627
2018-10-29,0.0
2018-10-31,-31.25
2018-11-12,109.0909
2018-11-14,-34.7826
2018-11-15,6.6667
2018-11-19,18.75
2018-12-06,0.0
2018-12-12,10.526299999999999
2019-01-08,-40.7143
2019-01-16,28.5141
2019-01-17,-18.75
2019-01-28,50.0
2019-01-30,0.0
2019-01-31,2.5641
2019-02-01,0.0
2019-02-04,-15.0
2019-02-06,-29.4118
2019-02-21,10.0
2019-03-01,6.0606
2019-03-04,0.0
2019-03-21,-7.1429
2019-03-28,15.3846
2019-09-24,-20.0
2020-05-12,0.0
2020-06-12,-5.4167
2020-07-02,1.3216
