ticker,MLPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-25,600.0
2005-05-26,0.0
2005-05-27,0.0
2005-06-09,114.2857
2005-08-08,293.3333
2005-08-15,-5.0847
2005-08-23,42.8571
2005-08-24,12.5
2005-08-26,11.1111
2005-09-13,-19.2
2005-09-20,0.0
2005-09-27,0.0
2005-10-13,0.0
2005-10-14,28.7129
2005-10-17,-3.8462
2005-10-25,-12.0
2005-10-26,0.0
2005-10-31,36.3636
2005-11-01,-13.3333
2005-11-02,15.3846
2005-11-03,3.3333
2005-11-04,0.0
2005-11-07,5.8065
2005-11-08,9.7561
2005-11-09,8.8889
2005-11-10,6.1224
2005-11-11,0.0
2005-11-14,0.9615
2005-11-15,0.4762
2005-11-16,-4.2654
2005-11-17,0.0
2005-11-18,0.495
2005-11-21,3.4483
2005-11-22,0.9524
2005-11-23,0.9434
2005-11-25,-4.2056000000000004
2005-11-28,1.4634
2005-11-29,0.0
2005-11-30,0.4808
2005-12-01,0.9569
2005-12-02,-1.4218
2005-12-05,-0.9615
2005-12-06,-12.6214
2005-12-07,-36.1111
2005-12-08,-13.0435
2005-12-09,-35.0
2005-12-12,10.7692
2005-12-13,9.7222
2005-12-14,1.2658
2005-12-15,-12.5
2005-12-16,-7.1429
2005-12-19,-7.6923
2005-12-20,5.0
2005-12-21,-9.5238
2005-12-22,-35.0877
2005-12-23,8.1081
2005-12-27,-37.5
2005-12-28,40.0
2005-12-29,-11.4286
2005-12-30,0.0
2006-01-03,0.0
2006-01-04,-9.6774
2006-01-05,-7.1429
2006-01-06,15.3846
2006-01-09,-6.6667
2006-01-10,7.1429
2006-01-11,23.3333
2006-01-12,35.1351
2006-01-13,12.0
2006-01-17,-3.5714
2006-01-18,-7.4074
2006-01-19,4.0
2006-01-20,3.8462
2006-01-23,1.8519
2006-01-24,-10.9091
2006-01-25,-17.3469
2006-01-26,6.1728
2006-01-27,-2.3256
2006-01-30,2.3810000000000002
2006-01-31,-2.3256
2006-02-01,-4.7619
2006-02-02,-20.0
2006-02-03,-6.25
2006-02-06,26.6667
2006-02-07,7.8947
2006-02-08,14.6341
2006-02-09,8.5106
2006-02-10,-5.8824
2006-02-13,4.1667
2006-02-14,-6.0
2006-02-15,4.2553
2006-02-16,-8.1633
2006-02-17,-6.6667
2006-02-21,54.7619
2006-02-22,10.6154
2006-02-23,-20.0278
2006-02-24,-7.8261
2006-02-27,-3.7736
2006-02-28,-3.9215999999999998
2006-03-01,6.1224
2006-03-02,-3.2692
