ticker,PCTY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-19,41.4118
2014-03-20,8.1156
2014-03-21,0.0731
2014-03-24,-6.3822
2014-03-25,-2.2177
2014-03-26,-3.7799
2014-03-27,-0.6547
2014-03-28,0.6151
2014-03-31,5.0218
2014-04-01,3.2016999999999998
2014-04-02,-3.2635
2014-04-03,-6.5806000000000004
2014-04-04,-7.9804
2014-04-07,-3.1977
2014-04-08,-3.6536999999999997
2014-04-09,1.2987
2014-04-10,-1.9487
2014-04-11,-1.6736
2014-04-14,5.3723
2014-04-15,-0.0505
2014-04-16,-1.3636
2014-04-17,-0.4096
2014-04-21,-0.4113
2014-04-22,0.6711
2014-04-23,7.8974
2014-04-24,-0.5703
2014-04-25,-2.5335
2014-04-28,-3.6292
2014-04-29,0.8142
2014-04-30,-4.5432
2014-05-01,-0.6875
2014-05-02,-1.7039
2014-05-05,2.5460000000000003
2014-05-06,-5.2826
2014-05-07,-11.2103
2014-05-08,-2.6382
2014-05-09,1.0323
2014-05-12,1.4049
2014-05-13,2.5189
2014-05-14,3.2555
2014-05-15,-2.3795
2014-05-16,0.5484
2014-05-19,-0.6667
2014-05-20,2.0744
2014-05-21,8.7268
2014-05-22,0.7697
2014-05-23,1.6912
2014-05-27,1.073
2014-05-28,-1.6454
2014-05-29,3.1301
2014-05-30,1.8838
2014-06-02,0.0
2014-06-03,1.1299
2014-06-04,-2.4886
2014-06-05,0.2083
2014-06-06,2.5468
2014-06-09,6.4876
2014-06-10,0.7615
2014-06-11,3.3538
2014-06-12,0.5941
2014-06-13,2.5443
2014-06-16,0.5317
2014-06-17,0.3967
2014-06-18,-1.4485999999999999
2014-06-19,4.1425
2014-06-20,-0.0855
2014-06-23,-3.6387
2014-06-24,-5.5087
2014-06-25,-2.7268
2014-06-26,2.5616
2014-06-27,-2.6390000000000002
2014-06-30,4.6951
2014-07-01,0.2774
2014-07-02,-1.2909
2014-07-03,1.121
2014-07-07,-0.6928
2014-07-08,-3.6744
2014-07-09,1.0623
2014-07-10,0.1433
2014-07-11,0.1431
2014-07-14,1.6675
2014-07-15,-2.8116
2014-07-16,3.9055
2014-07-17,-3.2947
2014-07-18,0.3359
2014-07-21,-0.4304
2014-07-22,-0.6004
2014-07-23,1.1839
2014-07-24,-1.3372
2014-07-25,-2.8074
2014-07-28,0.6972
2014-07-29,-0.5935
2014-07-30,0.4478
2014-07-31,-2.9718
2014-08-01,-2.0419
2014-08-04,0.4169
2014-08-05,-1.7125
