ticker,CSWI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-01,2.6667
2015-10-02,4.7078
2015-10-05,1.0543
2015-10-06,0.4603
2015-10-07,-0.1833
2015-10-08,-1.6524
2015-10-09,5.1649
2015-10-12,0.5917
2015-10-13,1.1774
2015-10-14,-0.4951
2015-10-15,0.4966
2015-10-16,0.2907
2015-10-19,-0.4348
2015-10-20,-0.2911
2015-10-21,2.1606
2015-10-22,0.0286
2015-10-23,1.2
2015-10-26,3.1621
2015-10-27,1.2589000000000001
2015-10-28,-3.1622
2015-10-29,-0.1954
2015-10-30,0.6991
2015-11-02,0.2499
2015-11-03,-0.9695
2015-11-04,-0.0839
2015-11-05,0.6439
2015-11-06,0.751
2015-11-09,-0.3313
2015-11-10,1.4127
2015-11-11,0.6829
2015-11-12,2.5773
2015-11-13,0.3438
2015-11-16,-1.3179
2015-11-17,-1.5491000000000001
2015-11-18,-2.3603
2015-11-19,2.334
2015-11-20,0.3258
2015-11-23,-0.6225
2015-11-24,0.1634
2015-11-25,-0.3806
2015-11-27,0.9007
2015-11-30,-0.8115
2015-12-01,-0.2182
2015-12-02,-0.8199
2015-12-03,0.5236
2015-12-04,-0.6305
2015-12-07,2.8138
2015-12-08,0.7244
2015-12-09,0.2664
2015-12-10,1.0893
2015-12-11,-0.2365
2015-12-14,2.4763
2015-12-15,-0.4113
2015-12-16,-1.3165
2015-12-17,-0.3136
2015-12-18,-3.0179
2015-12-21,0.8929
2015-12-22,0.6436
2015-12-23,0.0266
2015-12-24,0.586
2015-12-28,0.7945
2015-12-29,-1.3136999999999999
2015-12-30,-2.0367
2015-12-31,2.378
2016-01-04,-0.9822
2016-01-05,-1.3405
2016-01-06,-2.7717
2016-01-07,-0.7267
2016-01-08,1.5203
2016-01-11,-0.5546
2016-01-12,-1.8126
2016-01-13,-1.1928
2016-01-14,-2.2995
2016-01-15,0.5884
2016-01-19,-2.7201
2016-01-20,-0.8719
2016-01-21,0.2123
2016-01-22,2.1489
2016-01-25,0.7407
2016-01-26,0.1176
2016-01-27,-1.6157
2016-01-28,1.4929999999999999
2016-01-29,0.2648
2016-02-01,0.939
2016-02-02,-1.5116
2016-02-03,-0.2952
2016-02-04,0.8585
2016-02-05,-1.9372
2016-02-08,-4.2203
2016-02-09,-0.875
2016-02-10,1.7654
2016-02-11,-0.2788
2016-02-12,0.0311
2016-02-16,-7.2671
2016-02-17,-1.3731
2016-02-18,-1.0187
2016-02-19,-1.0292
2016-02-22,-1.5945
