ticker,LFER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-23,13.6364
2014-10-24,0.0
2014-10-27,4.0
2014-10-28,-1.5385
2014-10-29,40.625
2014-10-31,0.0
2014-11-12,-16.6667
2014-11-14,6.6667
2014-11-18,9.375
2014-11-20,2.8571
2014-11-21,3.3333
2014-11-24,7.5269
2014-12-01,-10.0
2014-12-02,8.3333
2014-12-04,-5.1282
2014-12-10,2.7027
2014-12-16,7.8947
2014-12-23,2.439
2015-01-05,0.0
2015-01-07,1.9048
2015-01-13,1.4019
2015-01-15,4.6083
2015-01-16,1.3216
2015-01-21,3.0435
2015-01-27,-2.9536
2015-01-29,3.0435
2015-02-03,0.0
2015-02-11,1.2658
2015-02-20,4.1667
2015-02-26,-3.6
2015-03-03,3.7344
2015-03-06,0.0
2015-03-09,-0.8
2015-03-10,-1.2097
2015-03-12,1.2245
2015-03-19,0.0
2015-03-20,3.629
2015-03-23,1.1673
2015-03-24,-3.8462
2015-03-25,0.4
2015-03-26,1.992
2015-03-27,1.5625
2015-03-30,1.1538
2015-03-31,0.0
2015-04-01,1.5209000000000001
2015-04-02,-1.1236
2015-04-06,-2.6515
2015-04-07,-2.7237
2015-04-08,0.0
2015-04-10,4.0
2015-04-13,5.7692
2015-04-14,-7.2727
2015-04-15,3.9215999999999998
2015-04-17,-3.7736
2015-04-20,3.9215999999999998
2015-04-21,1.8868
2015-04-22,-3.3333
2015-04-23,-0.3831
2015-04-24,0.7692
2015-04-27,-1.5267
2015-04-28,0.7752
2015-04-29,1.9231
2015-04-30,-1.5093999999999999
2015-05-01,2.2989
2015-05-04,0.7491
2015-05-05,-1.487
2015-05-06,-0.7547
2015-05-07,1.5209000000000001
2015-05-08,1.1236
2015-05-11,-3.3333
2015-05-13,1.5326
2015-05-14,1.8868
2015-05-18,-3.7037
2015-05-19,-5.7692
2015-05-20,4.898
2015-05-21,-0.7782
2015-05-26,-0.7843
2015-05-27,0.0
2015-05-29,1.581
2015-06-02,-1.5564
2015-06-03,3.5573
2015-06-08,1.145
2015-06-11,-1.8868
2015-06-12,0.0
2015-06-16,1.9231
2015-06-19,-1.8868
2015-06-23,-1.1538
2015-06-24,1.1673
2015-06-25,-1.9231
2015-06-26,0.0
2015-06-29,0.7843
2015-07-01,0.0
2015-07-08,-0.7782
2015-07-10,1.9607999999999999
2015-07-16,-1.9231
2015-07-17,1.5686
2015-07-22,0.3861
2015-07-23,0.0
2015-07-27,0.3846
2015-07-29,-1.5326
