ticker,SPXC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7123
2000-01-04,-1.6867
2000-01-05,1.3889
2000-01-06,0.4029
2000-01-07,3.7721
2000-01-10,0.3867
2000-01-11,-0.2311
2000-01-12,0.8494
2000-01-13,0.0766
2000-01-14,-0.306
2000-01-18,0.1535
2000-01-19,1.4559
2000-01-20,-0.6042
2000-01-21,0.076
2000-01-24,-4.0243
2000-01-25,-1.5823
2000-01-26,-2.4116
2000-01-27,-0.7414
2000-01-28,-0.332
2000-01-31,-1.4155
2000-02-01,1.098
2000-02-02,0.5013
2000-02-03,0.0
2000-02-04,1.2469000000000001
2000-02-07,2.5452
2000-02-08,-1.3611
2000-02-09,-0.1623
2000-02-10,-1.7886
2000-02-11,4.2219
2000-02-14,0.9531
2000-02-15,0.0787
2000-02-16,1.5723
2000-02-17,0.9288
2000-02-18,-0.7669
2000-02-22,1.3138
2000-02-23,-0.6102
2000-02-24,-0.4605
2000-02-25,-0.0771
2000-02-28,4.321
2000-02-29,3.0325
2000-03-01,12.7064
2000-03-02,10.5732
2000-03-03,0.0
2000-03-06,-0.7488
2000-03-07,0.6965
2000-03-08,4.8991
2000-03-09,6.2637
2000-03-10,-3.7746
2000-03-13,-1.3434
2000-03-14,-1.9062999999999999
2000-03-15,0.2221
2000-03-16,0.3878
2000-03-17,3.0353
2000-03-20,-0.6427
2000-03-21,-0.8086
2000-03-22,1.5217
2000-03-23,0.2141
2000-03-24,1.7094
2000-03-27,-3.1513
2000-03-28,-0.5423
2000-03-29,-3.1625
2000-03-30,0.0
2000-03-31,2.6464
2000-04-03,0.1097
2000-04-04,-10.5205
2000-04-05,3.1231
2000-04-06,2.6128
2000-04-07,-0.5208
2000-04-10,-1.8034
2000-04-11,1.4218
2000-04-12,-4.4393
2000-04-13,0.0
2000-04-14,-5.2567
2000-04-17,-1.9355
2000-04-18,-3.1579
2000-04-19,1.7663
2000-04-20,0.0
2000-04-24,0.4005
2000-04-25,7.7128
2000-04-26,1.2346
2000-04-27,2.9268
2000-04-28,4.1469
2000-05-01,0.1138
2000-05-02,0.9659
2000-05-03,-4.2769
2000-05-04,2.5279
2000-05-05,1.0321
2000-05-08,-1.3620999999999999
2000-05-09,-1.496
2000-05-10,-1.0514000000000001
2000-05-11,3.8961
2000-05-12,1.25
2000-05-15,0.0561
2000-05-16,0.5048
2000-05-17,-0.1116
2000-05-18,-1.0615
2000-05-19,-2.9927
2000-05-22,-2.3283
2000-05-23,-2.0262000000000002
