ticker,VDRM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-03-16,0.0
2009-03-23,75.0
2009-03-31,45.7143
2009-04-02,0.0
2009-04-06,0.0
2009-04-07,7.8431
2009-06-29,18.1818
2009-07-06,0.0
2009-08-06,-42.3077
2009-08-18,40.0
2009-08-25,7.1429
2009-08-26,-2.2222
2009-08-27,0.0
2009-09-03,-11.3636
2009-09-09,-23.0769
2009-09-10,3.3333
2009-09-14,9.6774
2009-09-15,-2.9412000000000003
2009-09-17,0.0
2009-09-18,18.1818
2009-09-21,0.0
2009-09-23,0.0
2009-09-24,1.0256
2009-09-25,0.0
2009-09-28,0.0
2009-09-30,0.0
2009-10-01,-18.7817
2009-10-05,-3.125
2009-10-06,3.2258
2009-10-07,6.25
2009-10-08,0.0
2009-10-13,35.2941
2009-10-14,2.1739
2009-10-15,-10.6383
2009-10-16,4.7619
2009-10-19,-6.8182
2009-10-20,18.5366
2009-10-21,-3.2922000000000002
2009-10-22,-8.5106
2009-10-23,2.3256
2009-10-26,4.5455
2009-10-27,-0.8696
2009-10-28,2.6316
2009-10-29,0.4274
2009-10-30,0.0
2009-11-02,0.0
2009-11-03,2.1277
2009-11-04,0.0
2009-11-05,2.0833
2009-11-06,-12.2449
2009-11-09,-4.6512
2009-11-10,0.0
2009-11-12,1.2195
2009-11-13,1.2048
2009-11-17,0.0
2009-11-23,0.0
2009-11-27,-11.9048
2009-12-02,-16.2162
2009-12-04,3.2258
2009-12-07,34.375
2009-12-08,-6.9767
2009-12-10,12.5
2009-12-11,22.2222
2009-12-14,-9.0909
2009-12-16,-10.0
2009-12-17,6.6667
2009-12-18,-16.6667
2009-12-28,0.0
2009-12-29,0.0
2009-12-30,0.0
2010-01-04,-20.0
2010-01-05,0.0
2010-01-13,18.125
2010-01-14,19.0476
2010-01-19,-22.2222
2010-01-20,-8.5714
2010-01-22,25.0
2010-01-26,-20.0
2010-01-29,-6.25
2010-03-02,-30.0
2010-03-11,42.8571
2010-04-16,-16.6667
2010-05-27,-44.0
2010-06-02,-4.2857
2010-06-16,-42.7861
2010-06-17,-9.5652
2010-06-22,92.3077
2010-06-28,0.0
2010-06-30,-5.0
2010-07-01,2.6316
2010-07-08,0.0
2010-07-09,2.5641
2010-07-12,-2.5
2010-07-13,0.0
2010-07-15,2.5641
2010-07-21,-10.0
2010-07-23,-30.5556
2010-08-03,-12.0
2010-08-16,0.0
2010-08-17,0.0
2010-08-27,0.0
2010-08-30,0.0
2010-09-17,-8.1818
