ticker,LEGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-05,60.8696
2020-06-08,-2.4324
2020-06-09,3.8781
2020-06-10,1.4667
2020-06-11,-4.7306
2020-06-12,4.9379
2020-06-15,1.0778
2020-06-16,0.3381
2020-06-17,-2.5661
2020-06-18,4.5225
2020-06-19,0.8399
2020-06-22,4.7451
2020-06-23,-1.2048
2020-06-24,-2.3659
2020-06-25,1.2490999999999999
2020-06-26,-1.2337
2020-06-29,2.673
2020-06-30,3.5523
2020-07-01,-7.8947
2020-07-02,1.0459
2020-07-06,-1.1360999999999999
2020-07-07,-5.1073
2020-07-08,6.4047
2020-07-09,-1.6692
2020-07-10,-1.4403000000000001
2020-07-13,-2.1399
2020-07-14,-0.08
2020-07-15,-0.2936
2020-07-16,-6.5846
2020-07-17,0.8596
2020-07-20,0.3409
2020-07-21,1.7271
2020-07-22,0.7515
2020-07-23,2.6243
2020-07-24,-2.2611
2020-07-27,-2.6714
2020-07-28,0.5376
2020-07-29,1.1821
2020-07-30,-0.4451
2020-07-31,-1.5367
