ticker,NYCB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9217
2000-01-04,-3.2558
2000-01-05,-0.2404
2000-01-06,0.241
2000-01-07,0.2404
2000-01-10,-0.2398
2000-01-11,-0.7212
2000-01-12,-1.2107
2000-01-13,1.9607999999999999
2000-01-14,-4.3269
2000-01-18,0.5025
2000-01-19,-6.75
2000-01-20,-6.1662
2000-01-21,0.2857
2000-01-24,0.7123
2000-01-25,0.7072
2000-01-26,0.2809
2000-01-27,2.521
2000-01-28,0.8197
2000-01-31,0.0
2000-02-01,1.3699
2000-02-02,0.0
2000-02-03,1.6216
2000-02-04,-1.5957
2000-02-07,-4.7297
2000-02-08,-0.9929
2000-02-09,-4.298
2000-02-10,-2.6946
2000-02-11,-0.6154
2000-02-14,1.548
2000-02-15,-1.8293
2000-02-16,0.0
2000-02-17,1.5528
2000-02-18,-1.8349
2000-02-22,-2.1807
2000-02-23,-1.4331
2000-02-24,-1.1309
2000-02-25,-0.9804
2000-02-28,4.6205
2000-02-29,-4.1009
2000-03-01,1.9737
2000-03-02,-3.5484
2000-03-03,6.3545
2000-03-06,0.6289
2000-03-07,-0.3125
2000-03-08,-1.2539
2000-03-09,-2.8571
2000-03-10,-1.9607999999999999
2000-03-13,-5.0
2000-03-14,-0.3509
2000-03-15,10.5634
2000-03-16,0.6369
2000-03-17,4.4304
2000-03-20,-6.0606
2000-03-21,3.2258
2000-03-22,2.5
2000-03-23,-4.878
2000-03-24,0.3205
2000-03-27,-1.278
2000-03-28,-5.8252
2000-03-29,0.6873
2000-03-30,-1.3652
2000-03-31,0.0
2000-04-03,4.4983
2000-04-04,0.9934
2000-04-05,1.3115
2000-04-06,-0.9709
2000-04-07,-0.9804
2000-04-10,-1.9802
2000-04-11,5.3872
2000-04-12,5.7508
2000-04-13,-1.2085
2000-04-14,-3.9755000000000003
2000-04-17,-0.6369
2000-04-18,0.9615
2000-04-19,3.8095
2000-04-20,-0.6116
2000-04-24,0.0
2000-04-25,0.9231
2000-04-26,0.0
2000-04-27,0.0
2000-04-28,0.3086
2000-05-01,0.0
2000-05-02,-1.5385
2000-05-03,-0.625
2000-05-04,-2.2013
2000-05-05,0.6431
2000-05-08,-0.639
2000-05-09,-2.5723000000000003
2000-05-10,0.33
2000-05-11,2.6316
2000-05-12,-2.8846
2000-05-15,0.9901
2000-05-16,-0.6536
2000-05-17,-1.9737
2000-05-18,-1.3423
2000-05-19,-0.6803
2000-05-22,1.3699
2000-05-23,-2.3649
