ticker,TNBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-07,18.656
2011-06-08,13.8614
2011-06-13,-12.1739
2011-06-14,27.7228
2012-01-19,-75.969
2012-01-20,-3.2258
2012-01-23,-35.0
2012-01-25,2.5641
2012-01-31,0.0
2012-03-21,-25.0
2012-03-22,80.0
2012-04-16,48.1481
2012-04-24,-12.5
2012-04-27,-8.5714
2012-05-03,9.375
2012-06-08,-14.2857
2012-06-11,6.6667
2012-06-18,12.5
2012-06-19,5.5556
2012-06-21,0.0
2012-06-27,-7.8947
2012-06-28,11.4286
2012-07-18,-15.3846
2012-07-23,51.5152
2012-07-24,20.0
2012-07-27,-16.6667
2012-07-30,20.0
2012-07-31,-8.3333
2012-08-01,-7.2727
2012-08-03,7.8431
2012-08-06,-18.1818
2012-08-07,-11.1111
2012-08-09,32.5
2012-08-10,3.7736
2012-08-13,0.0
2012-08-15,-7.2727
2012-09-21,-21.5686
2012-11-15,37.5
2012-11-26,-54.5455
2012-11-30,-16.0
2012-12-03,0.0
2012-12-04,4.7619
2012-12-07,42.0455
2012-12-10,0.0
2012-12-13,44.0
2012-12-14,11.1111
2012-12-28,-27.1
2013-01-10,-31.4129
2013-01-17,1.8
2013-02-12,-1.7682
2013-02-25,0.0
2013-03-08,-40.0
2013-03-25,-33.3333
2013-04-11,150.0
2013-04-18,0.0
2013-07-10,-40.0
2013-07-11,-26.6667
2013-07-12,36.3636
2013-07-17,33.3333
2013-10-01,-25.0
2013-10-07,-60.0
2013-10-25,-48.3333
2013-10-30,61.2903
2013-10-31,80.0
2013-11-01,33.3333
2013-11-04,-50.0
2013-11-08,1.6667
2013-11-11,0.0
2013-11-27,-1.6393
2013-12-11,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-02,66.6667
2014-01-07,0.0
2014-01-10,-10.0
2014-01-13,-22.2222
2014-01-15,-7.1429
2014-01-16,1.5385
2014-02-27,-1.5152
2014-04-09,-38.4615
2014-04-21,0.0
2014-06-09,150.0
2014-09-03,-50.0
2014-12-12,-20.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-22,0.0
2015-01-23,-25.0
2015-04-14,-33.3333
2015-09-24,0.0
2015-12-11,0.625
2016-04-25,-25.4658
2016-05-06,0.0
2017-02-06,-33.3333
2017-06-16,0.0
2017-08-08,0.0
2017-08-28,145.0
2017-09-15,-59.1837
2018-01-25,145.0
2018-01-31,2.0408
2018-02-06,-60.0
2018-02-27,150.0
2018-03-13,0.0
2018-03-14,-60.0
2018-05-02,150.0
2018-06-27,0.0
2018-08-21,-40.0
2018-09-20,16.6667
2019-01-24,128.5714
2019-01-25,-50.0
2019-03-29,-50.0
2019-07-05,250.0
2019-07-10,0.0
2019-07-11,-6.0
2019-07-16,0.0
2019-07-24,0.0
2019-08-08,-36.1702
2019-08-13,19.0476
2019-08-19,-20.0
2019-10-04,0.0
2019-11-04,-65.0
2019-12-16,114.2857
2019-12-17,-26.6667
2020-02-10,36.3636
2020-03-25,-0.6667
2020-03-26,-0.6711
2020-04-07,0.0
2020-04-08,1.3514
2020-04-13,166.6667
2020-04-14,-43.75
2020-04-15,77.7778
2020-04-17,-37.5
2020-04-23,0.0
2020-05-05,-13.0
2020-05-19,14.9425
2020-05-22,-32.0
2020-06-04,41.1765
2020-06-29,-33.3333
