ticker,GNRS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-27,0.9365
2020-05-28,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-08,0.0
2020-06-10,0.5155
2020-06-15,-0.5128
2020-06-16,1.2144
2020-06-17,-0.6906
2020-06-18,-0.0051
2020-06-19,0.4154
2020-06-23,0.6129
2020-06-24,-0.4061
2020-06-25,-0.2436
2020-06-26,0.142
2020-06-29,0.5102
2020-06-30,-0.3046
2020-07-01,0.4073
2020-07-02,0.1014
2020-07-06,0.0
2020-07-07,-0.2026
2020-07-08,0.3046
2020-07-09,-0.1012
2020-07-10,0.8105
2020-07-13,-0.3015
2020-07-14,0.0
2020-07-15,1.3105
2020-07-21,-0.398
2020-07-23,0.1668
2020-07-24,-1.4631
2020-07-27,0.1356
2020-07-28,-0.4387
2020-07-29,-1.0152
2020-07-31,0.1026
