ticker,ENLV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-31,-23.6364
2014-08-01,-17.8571
2014-08-04,4.9275
2014-08-05,0.8287
2014-08-06,2.1918
2014-08-07,1.4745
2014-08-08,2.2457
2014-08-11,-0.5168
2014-08-12,-1.9481000000000002
2014-08-13,-1.5894
2014-08-14,-1.7497
2014-08-15,0.137
2014-08-18,1.6416
2014-08-19,-1.2113
2014-08-20,2.1798
2014-08-21,1.2
2014-08-22,1.1858
2014-08-25,13.0208
2014-08-26,7.0276
2014-08-27,5.3821
2014-08-28,0.0
2014-08-29,-5.618
2014-09-02,-5.7359
2014-09-03,1.837
2014-09-04,-4.7351
2014-09-05,1.1834
2014-09-08,4.0936
2014-09-09,2.4705
2014-09-10,-5.2632
2014-09-11,1.8533
2014-09-12,-0.0014
2014-09-15,-2.2713
2014-09-16,-1.1628
2014-09-17,1.1764999999999999
2014-09-18,-0.2326
2014-09-19,1.2821
2014-09-22,-5.1784
2014-09-23,-0.9694
2014-09-24,-3.923
2014-09-25,0.8929
2014-09-26,-4.2984
2014-09-29,1.7173
2014-09-30,-5.5844000000000005
2014-10-01,2.2008
2014-10-02,-5.3836
2014-10-03,-0.2827
2014-10-06,0.1409
2014-10-07,5.4131
2014-10-08,-2.027
2014-10-09,-8.0
2014-10-10,-7.7961
2014-10-13,-2.1138
2014-10-14,-8.4718
2014-10-15,-4.7164
2014-10-16,8.5688
2014-10-17,1.0526
2014-10-20,4.8611
2014-10-21,4.9669
2014-10-22,-4.8896
2014-10-23,-6.6335
2014-10-24,4.4405
2014-10-27,0.3401
2014-10-28,3.7288
2014-10-29,0.6536
2014-10-30,-9.9026
2014-10-31,-0.9009
2014-11-03,-1.8182
2014-11-04,2.037
2014-11-05,1.4519
2014-11-06,-6.9767
2014-11-07,2.875
2014-11-10,-0.9253
2014-11-11,-0.9434
2014-11-12,0.0
2014-11-13,-1.9048
2014-11-14,-0.9709
2014-11-17,-2.3529
2014-11-18,-5.4217
2014-11-19,-1.2739
2014-11-20,1.7204000000000002
2014-11-21,-3.8055
2014-11-24,-0.4396
2014-11-25,3.7528
2014-11-26,26.5957
2014-11-28,15.9664
2014-12-01,12.7536
2014-12-02,-5.6555
2014-12-03,2.8609999999999998
2014-12-04,-2.5166
2014-12-05,-2.4457
2014-12-08,-1.6713
2014-12-09,-4.9575
2014-12-10,7.1535
2014-12-11,0.8345
2014-12-12,-7.4483
2014-12-15,-1.5051999999999999
2014-12-16,-1.044
2014-12-17,1.0226
