ticker,NHLE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-25,42.8571
2013-11-27,0.0
2013-11-29,30.0
2013-12-17,-23.0769
2013-12-26,20.0
2013-12-27,-8.3333
2013-12-31,0.0
2014-01-02,-9.0909
2014-01-07,-10.0
2014-01-13,11.1111
2014-01-15,-20.0
2014-01-27,25.0
2014-01-28,12.0
2014-01-29,7.1429
2014-02-03,5.0
2014-02-04,3.1746
2014-02-05,0.0
2014-02-06,7.6923
2014-02-07,21.4286
2014-02-10,5.8824
2014-02-11,-1.1111
2014-02-12,12.3596
2014-02-13,10.0
2014-02-14,20.9091
2014-02-18,-13.5338
2014-02-19,0.8696
2014-02-20,3.4483
2014-02-21,5.0
2014-02-24,-0.7937
2014-02-25,0.8
2014-02-26,-8.7302
2014-02-27,8.6957
2014-02-28,-4.0
2014-03-03,-6.6667
2014-03-04,-9.8214
2014-03-05,14.8515
2014-03-06,0.0
2014-03-07,-1.7241
2014-03-10,-5.2632
2014-03-11,1.8519
2014-03-12,1.8182
2014-03-13,-1.7856999999999998
2014-03-14,0.9091
2014-03-17,-1.8018
2014-03-18,-1.8349
2014-03-19,-0.9346
2014-03-20,0.0
2014-03-21,-5.6604
2014-03-24,-26.2
2014-03-25,-29.1328
2014-03-26,16.6348
2014-03-27,11.4754
2014-03-28,-4.4118
2014-03-31,-7.6923
2014-04-01,-11.6667
2014-04-02,-17.9009
2014-04-03,8.0149
2014-04-04,-6.8085
2014-04-07,-10.9589
2014-04-08,14.359
2014-04-09,-12.5561
2014-04-10,7.6923
2014-04-11,0.0
2014-04-14,-16.6667
2014-04-15,-34.2857
2014-04-16,21.7391
2014-04-17,-3.5714
2014-04-21,-3.7037
2014-04-22,-15.3846
2014-04-23,-18.1818
2014-04-24,15.3819
2014-04-25,5.9284
2014-04-28,0.0
2014-04-29,-27.2727
2014-04-30,12.5
2014-05-01,-5.5556
2014-05-02,-14.7059
2014-05-05,24.1379
2014-05-06,-16.6667
2014-05-07,20.0
2014-05-08,-2.7778
2014-05-09,5.7143
2014-05-12,-23.7838
2014-05-13,27.6596
2014-05-14,-22.2222
2014-05-15,0.0
2014-05-16,14.2857
2014-05-19,0.0
2014-05-20,-6.25
2014-05-21,-6.5833
2014-05-22,28.4567
2014-05-23,11.1111
2014-05-27,-10.0
2014-05-28,38.3333
2014-05-29,0.0
2014-06-02,0.0
2014-06-03,-21.6867
2014-06-04,2.5641
2014-06-05,5.0
2014-06-06,-4.7619
2014-06-09,5.0
