ticker,SNAP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-02,44.0
2017-03-03,10.6618
2017-03-06,-12.2554
2017-03-07,-9.8023
2017-03-08,6.3899
2017-03-09,-0.4384
2017-03-10,-2.8181000000000003
2017-03-13,-4.4404
2017-03-14,-2.4182
2017-03-15,0.9232
2017-03-16,-4.2369
2017-03-17,-1.7597
2017-03-20,1.9959
2017-03-21,2.2579000000000002
2017-03-22,7.0658
2017-03-23,6.0037
2017-03-24,-1.6861000000000002
2017-03-27,4.7933
2017-03-28,-6.7982
2017-03-29,1.5308000000000002
2017-03-30,-1.4191
2017-03-31,1.3495
2017-04-03,-0.7989
2017-04-04,-0.9396
2017-04-05,-6.5041
2017-04-06,-0.628
2017-04-07,1.2154
2017-04-10,0.7205
2017-04-11,-1.2876
2017-04-12,-2.3188
2017-04-13,-0.1484
2017-04-17,-1.2382
2017-04-18,3.0592
2017-04-19,0.3406
2017-04-20,2.5703
2017-04-21,-1.0402
2017-04-24,1.29
2017-04-25,0.6604
2017-04-26,1.1246
2017-04-27,1.9926
2017-04-28,2.4534000000000002
2017-05-01,-1.5078
2017-05-02,-0.9905
2017-05-03,-0.7731
2017-05-04,3.5289
2017-05-05,2.656
2017-05-08,-3.1479
2017-05-09,3.8289999999999997
2017-05-10,-1.458
2017-05-11,-21.4534
2017-05-12,6.0388
2017-05-15,8.3595
2017-05-16,0.1929
2017-05-17,-4.2348
2017-05-18,1.8593
2017-05-19,-1.332
2017-05-22,0.4
2017-05-23,-0.249
2017-05-24,2.4963
2017-05-25,6.8193
2017-05-26,-3.2376
2017-05-30,1.0839
2017-05-31,-1.1189
2017-06-01,0.6129
2017-06-02,-1.1715
2017-06-05,-4.1726
2017-06-06,0.7422
2017-06-07,-3.9293
2017-06-08,-3.6299
2017-06-09,-4.0849
2017-06-12,0.6637
2017-06-13,-0.5495
2017-06-14,-1.2155
2017-06-15,-4.9216999999999995
2017-06-16,3.1765
2017-06-19,1.9384000000000001
2017-06-20,-3.1879
2017-06-21,-0.2311
2017-06-22,2.1424
2017-06-23,-0.5669
2017-06-26,-1.4253
2017-06-27,0.2892
2017-06-28,2.4221
2017-06-29,0.732
2017-06-30,-0.6708
2017-07-03,-1.0129
2017-07-05,-1.5350000000000001
2017-07-06,-0.0577
2017-07-07,-0.751
2017-07-10,-1.1059
2017-07-11,-8.9464
2017-07-12,-1.4867
2017-07-13,2.9528
2017-07-14,-2.6769
2017-07-17,-0.9168
2017-07-18,-2.6438
