ticker,ACM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-10,5.5
2007-05-11,3.5545
2007-05-14,2.0595
2007-05-15,-5.8296
2007-05-16,9.2381
2007-05-17,0.3051
2007-05-18,-0.0869
2007-05-21,2.8708
2007-05-22,1.2685
2007-05-23,-0.2088
2007-05-24,-3.5564999999999998
2007-05-25,1.9957
2007-05-29,-1.1484
2007-05-30,-1.506
2007-05-31,0.0437
2007-06-01,0.6114
2007-06-04,1.1285
2007-06-05,0.4721
2007-06-06,-1.2814999999999999
2007-06-07,-1.4712
2007-06-08,-1.5371000000000001
2007-06-11,1.3827
2007-06-12,-0.4399
2007-06-13,2.9607
2007-06-14,1.8455
2007-06-15,4.1298
2007-06-18,5.2206
2007-06-19,-1.8846
2007-06-20,-0.6664
2007-06-21,-1.6968999999999999
2007-06-22,-2.8101000000000003
2007-06-25,1.6109
2007-06-26,-2.7236000000000002
2007-06-27,3.0506
2007-06-28,-0.365
2007-06-29,0.9768
2007-07-02,2.2975
2007-07-03,1.2214
2007-07-05,2.5691
2007-07-06,1.4042
2007-07-09,-0.1497
2007-07-10,-0.6747
2007-07-11,0.9811
2007-07-12,0.71
2007-07-13,4.5269
2007-07-16,-1.4554
2007-07-17,-0.1081
2007-07-18,-1.7309999999999999
2007-07-19,1.9449999999999998
2007-07-20,-1.9078
2007-07-23,0.4771
2007-07-24,-3.1775
2007-07-25,-3.2441
2007-07-26,-1.5984
2007-07-27,0.1585
2007-07-30,2.9668
2007-07-31,-0.3073
2007-08-01,-2.5048
2007-08-02,4.3478
2007-08-03,2.2727
2007-08-06,-2.0741
2007-08-07,1.5885
2007-08-08,0.7074
2007-08-09,-3.586
2007-08-10,-3.7577
2007-08-13,0.1992
2007-08-14,-1.5507
2007-08-15,-0.0404
2007-08-16,-1.4141
2007-08-17,0.123
2007-08-20,2.3332
2007-08-21,4.5600000000000005
2007-08-22,3.7108
2007-08-23,0.7008
2007-08-24,0.2198
2007-08-27,-0.6579
2007-08-28,-3.6424
2007-08-29,1.2218
2007-08-30,0.4904
2007-08-31,0.8634
2007-09-04,0.4838
2007-09-05,0.037
2007-09-06,-0.037
2007-09-07,-0.7778
2007-09-10,0.2613
2007-09-11,1.6754
2007-09-12,1.7942
2007-09-13,0.3597
2007-09-14,0.2151
2007-09-17,3.9342
2007-09-18,4.0262
2007-09-19,1.9186
2007-09-20,-2.8238
2007-09-21,1.7702
2007-09-24,-0.9189
2007-09-25,2.683
2007-09-26,6.5806000000000004
