ticker,ZDGE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-27,36.5385
2016-05-31,5.3521
2016-06-01,-4.1444
2016-06-02,-34.4491
2016-06-03,-8.5106
2016-06-06,-3.7209
2016-06-07,-5.5556
2016-06-08,1.5345
2016-06-09,40.5542
2016-06-10,-23.8351
2016-06-13,-12.7059
2016-06-14,2.965
2016-06-15,3.9267
2016-06-16,-5.7935
2016-06-17,0.8021
2016-06-20,-3.4483
2016-06-21,4.9451
2016-06-22,-5.2356
2016-06-23,12.4309
2016-06-24,0.4914
2016-06-27,17.6039
2016-06-28,0.0
2016-06-29,-4.9896
2016-06-30,0.4376
2016-07-01,0.2179
2016-07-05,-3.2609
2016-07-06,0.0
2016-07-07,0.4494
2016-07-08,0.2237
2016-07-11,0.4464
2016-07-12,-0.8889
2016-07-13,1.7936999999999999
2016-07-14,-0.6608
2016-07-15,-1.1086
2016-07-18,-3.5874
2016-07-19,-5.5814
2016-07-20,3.4483
2016-07-21,4.5238
2016-07-22,-2.5057
2016-07-25,-4.6729
2016-07-26,2.451
2016-07-27,1.6745999999999999
2016-07-28,-4.0
2016-07-29,1.9607999999999999
2016-08-01,-2.6442
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,3.2099
2016-08-05,-1.4354
2016-08-08,4.8544
2016-08-09,2.7778
2016-08-10,-0.9009
2016-08-11,1.1364
2016-08-12,0.2247
2016-08-15,-0.2242
2016-08-16,0.0
2016-08-17,2.0225
2016-08-18,0.8811
2016-08-19,-0.2183
2016-08-22,-1.3129
2016-08-23,-1.3304
2016-08-24,-3.1461
2016-08-25,0.464
2016-08-26,-0.6928
2016-08-29,5.3488
2016-08-30,-0.6623
2016-08-31,-0.8889
2016-09-01,-1.7936999999999999
2016-09-02,-1.8265
2016-09-06,0.9302
2016-09-07,-6.4516
2016-09-08,-0.2463
2016-09-09,2.2222
2016-09-12,-3.1401
2016-09-13,0.0
2016-09-14,-0.4988
2016-09-15,0.0
2016-09-16,5.0125
2016-09-19,2.148
2016-09-20,0.4673
2016-09-21,-3.7209
2016-09-22,-2.1739
2016-09-23,-0.9877
2016-09-26,-3.2419000000000002
2016-09-27,1.2887
2016-09-28,-1.5267
2016-09-29,-2.0672
2016-09-30,-9.7625
2016-10-03,-2.924
2016-10-04,-0.6024
2016-10-05,-0.9091
2016-10-06,-3.9755000000000003
2016-10-07,2.5478
2016-10-10,-5.2795
2016-10-11,-4.5902
2016-10-12,-7.2165
2016-10-13,0.3704
2016-10-14,11.8081
