ticker,HOOK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-18,0.0
2019-04-22,0.0
2019-04-23,-1.7856999999999998
2019-04-24,1.8182
2019-04-25,1.0714
2019-04-26,-1.0601
2019-04-29,0.0
2019-04-30,0.1429
2019-05-01,-0.1427
2019-05-02,-1.5
2019-05-03,0.7977
2019-05-06,-1.0791
2019-05-07,1.4545
2019-05-08,-1.2903
2019-05-09,0.5084
2019-05-10,0.0723
2019-05-13,-0.4332
2019-05-14,0.145
2019-05-15,-4.055
2019-05-16,-3.1698
2019-05-17,-9.0413
2019-05-20,1.2852999999999999
2019-05-21,-12.9442
2019-05-22,-7.0943
2019-05-23,-3.1381
2019-05-24,-1.1879
2019-05-28,3.2787
2019-05-29,-9.8413
2019-05-30,-2.5822000000000003
2019-05-31,3.3735
2019-06-03,-6.4103
2019-06-04,21.6687
2019-06-05,-17.6049
2019-06-06,-3.6025
2019-06-07,-2.5773
2019-06-10,7.2751
2019-06-11,8.508
2019-06-12,5.2273
2019-06-13,4.4276
2019-06-14,-8.479800000000001
2019-06-17,-7.4576
2019-06-18,0.1221
2019-06-19,-4.878
2019-06-20,-1.7949000000000002
2019-06-21,-4.047
2019-06-24,-11.4286
2019-06-25,-1.6897
2019-06-26,-3.75
2019-06-27,5.5195
2019-06-28,3.5385
2019-07-01,0.0
2019-07-02,0.4458
2019-07-03,-0.7396
2019-07-05,0.149
2019-07-08,-2.3810000000000002
2019-07-09,1.6768
2019-07-10,2.5487
2019-07-11,-2.3392
2019-07-12,22.9042
2019-07-15,-9.257
2019-07-16,-8.9933
2019-07-17,10.767
2019-07-18,-4.6605
2019-07-19,5.3073
2019-07-22,-8.3554
2019-07-23,-1.8813
2019-07-24,5.8997
2019-07-25,-10.1671
2019-07-26,2.4806
2019-07-29,-1.9667
2019-07-30,11.8827
2019-07-31,0.5517
2019-08-01,0.2743
2019-08-02,-2.1888
2019-08-05,-5.1748
2019-08-06,-2.0649
2019-08-07,0.9036
2019-08-08,0.7463
2019-08-09,3.8519
2019-08-12,0.428
2019-08-13,-0.5682
2019-08-14,0.0
2019-08-15,-0.1429
2019-08-16,4.1488
2019-08-19,0.2747
2019-08-20,5.4795
2019-08-21,2.5974
2019-08-22,3.4177
2019-08-23,-0.8568
2019-08-26,-3.4568
2019-08-27,-6.7775
2019-08-28,0.2743
2019-08-29,9.4391
2019-08-30,5.5
2019-09-03,-0.237
2019-09-04,0.0
2019-09-05,-1.5439
2019-09-06,-1.8094000000000001
