ticker,ORMTQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-10,3.125
2005-08-19,0.0
2005-08-22,7.5758
2005-11-08,-1.4085
2005-11-14,-8.5714
2005-11-16,1.25
2005-11-23,1.8519
2005-11-30,0.0
2006-01-18,-9.0909
2006-02-03,3.3333
2006-04-19,0.0
2006-04-20,3.2258
2006-04-21,6.25
2006-05-02,2.3529
2006-05-04,0.0
2006-05-12,0.0
2006-06-02,-2.2989
2006-07-18,-1.7647
2006-07-27,-3.5928
2006-08-29,-13.0435
2006-09-01,-7.1429
2006-09-06,0.7692
2006-09-14,3.0611
2006-10-13,-0.0074
2006-10-27,0.0
2006-11-01,0.7407
2006-11-03,8.8235
2006-11-08,0.0
2006-11-09,-0.6757
2006-11-10,0.6803
2006-11-14,-2.027
2006-11-15,6.8966
2006-11-16,-1.9355
2006-11-21,1.3158
2006-11-27,-1.2987
2006-12-06,0.0
2006-12-07,0.0
2006-12-08,0.0
2006-12-11,0.0
2006-12-15,-7.8947
2006-12-19,0.0
2007-01-05,-5.7143
2007-01-08,-5.303
2007-01-09,2.8
2007-01-11,-1.1673
2007-01-22,10.2362
2007-01-23,12.857099999999999
2007-01-24,3.1646
2007-01-25,5.5215
2007-01-26,-1.1628
2007-01-29,0.5882
2007-01-30,0.5848
2007-01-31,4.6512
2007-02-06,13.3333
2007-02-07,1.4706000000000001
2007-02-08,0.0
2007-02-09,-0.9662
2007-02-13,4.3902
2007-02-20,-0.9346
2007-02-21,0.0
2007-02-22,6.6038
2007-02-23,-7.0796
2007-02-26,-1.9048
2007-02-27,-2.1845
2007-02-28,-0.7444
2007-03-02,-2.5
2007-03-05,-2.5641
2007-03-06,-1.3158
2007-03-07,0.0
2007-03-08,4.0
2007-03-09,1.2821
2007-03-12,-0.7595
2007-03-22,-0.5102
2007-03-26,0.0
2007-03-29,0.2564
2007-04-02,0.5115
2007-04-03,0.7634
2007-04-05,-0.5051
2007-04-09,0.0
2007-04-10,0.0
2007-04-13,0.0
2007-04-16,0.2538
2007-04-17,0.0
2007-04-18,2.0253
2007-04-19,0.7444
2007-04-20,13.3005
2007-04-25,0.0
2007-04-26,2.1739
2007-04-27,-4.2553
2007-04-30,0.8889
2007-05-01,-1.9824000000000002
2007-05-02,2.2472
2007-05-03,-1.5385
2007-05-04,0.0
2007-05-07,7.8125
2007-05-08,4.5549
2007-05-09,5.3465
2007-05-10,-2.2556
2007-05-11,-0.7692
2007-05-14,-1.124
2007-05-15,-1.9992
