ticker,APSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-15,1100.0
2015-04-16,-2.0
2015-04-17,-8.1633
2015-04-22,82.2222
2015-04-23,-8.5366
2015-04-24,-5.3333
2015-04-27,5.6338
2015-04-29,0.6667
2015-04-30,1.9868000000000001
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-13,-9.0909
2015-05-14,9.982099999999999
2015-05-26,-18.818
2015-05-29,12.0
2015-06-08,-7.1429
2015-06-09,12.3077
2015-06-10,0.0
2015-06-23,-4.1096
2015-07-02,14.2857
2015-07-13,62.5
2015-07-14,-42.3077
2015-07-16,-13.3333
2015-07-17,20.0
2015-07-21,-16.6667
2015-08-03,46.1538
2015-08-04,0.0
2015-08-05,-5.2632
2015-08-06,-5.5556
2015-08-07,-17.647100000000002
2015-08-10,0.0
2015-09-01,11.4286
2015-09-08,-5.1282
2015-09-09,-2.4324
2015-09-10,2.4931
2015-09-11,1.0811
2015-09-14,5.8824
2015-09-15,2.904
2015-09-16,-0.4908
2015-09-17,-13.6868
2015-09-18,3.5714
2015-09-21,-5.1724
2015-09-22,-33.0909
2015-09-23,-80.4348
2015-09-24,-34.4444
2015-09-25,-18.6441
2015-09-28,56.25
2015-09-29,17.3333
2015-09-30,-4.5455
2015-10-01,-25.0
2015-10-02,22.2222
2015-10-05,-9.0909
2015-10-06,10.0
2015-10-07,1.2987
2015-10-08,28.2051
2015-10-09,15.0
2015-10-12,6.9565
2015-10-13,-2.439
2015-10-14,-16.6667
2015-10-15,-2.5
2015-10-16,-26.1538
2015-10-19,6.5104
2015-10-20,-8.7205
2015-10-21,0.0
2015-10-22,-21.4286
2015-10-23,-6.3636
2015-10-26,9.7087
2015-10-27,6.1947
2015-10-28,36.6667
2015-10-29,0.0
2015-10-30,0.0
2015-11-02,3.6585
2015-11-03,23.3824
2015-11-04,0.1192
2015-11-05,14.2857
2015-11-06,8.3333
2015-11-09,-4.6154
2015-11-10,0.8065
2015-11-11,-6.4
2015-11-12,0.8547
2015-11-13,1.6949
2015-11-16,0.0
2015-11-17,-4.0625
2015-11-18,0.76
2015-11-19,-2.5862
2015-11-20,0.0
2015-11-23,-1.7699
2015-11-24,-2.7027
2015-11-25,-2.7778
2015-11-27,-9.5238
2015-11-30,-1.5789
2015-12-01,6.9519
2015-12-02,0.0
2015-12-03,-27.0
2015-12-04,-1.3699
2015-12-07,0.0
2015-12-08,8.3333
2015-12-10,2.5641
2015-12-11,25.0
