ticker,SKYI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-01,-24.0
2014-12-04,-73.6842
2014-12-10,50.0
2014-12-11,-26.6667
2014-12-17,9.0909
2014-12-26,-8.3333
2014-12-29,-50.0
2014-12-31,100.0
2015-01-07,9.0909
2015-01-15,-8.3333
2015-01-21,9.0909
2015-01-22,0.0
2015-01-23,0.0
2015-01-26,0.0
2015-01-29,4.1667
2015-01-30,0.0
2015-02-02,-8.0
2015-02-05,-8.6957
2015-02-06,4.7619
2015-02-09,-4.5455
2015-02-12,0.0
2015-03-02,0.0
2015-03-03,-0.9524
2015-03-13,1.4423
2015-03-16,-0.4739
2015-03-17,109.5238
2015-03-18,109.0909
2015-03-19,78.2609
2015-03-20,21.9512
2015-03-23,1.0
2015-03-24,20.7921
2015-03-31,88.5246
2015-04-01,0.0
2015-04-02,30.4348
2015-04-06,0.0
2015-04-07,-33.3333
2015-04-08,50.0
2015-04-09,7.3333
2015-04-10,3.4161
2015-04-13,1.5015
2015-05-06,-41.4201
2015-05-07,-6.5657
2015-05-11,1.6216
2015-06-12,-33.5106
2015-06-18,-10.8
2016-06-16,-9.417
2016-08-01,-0.9901
2016-08-04,-49.0
2016-08-10,-1.9607999999999999
2016-08-25,10.0
2016-09-02,74.5455
2016-12-12,3.125
2016-12-13,6.048
2016-12-14,-14.2755
2016-12-30,-11.1111
2017-01-17,-6.25
2017-01-19,8.0
2017-02-08,1.2346
2017-02-09,-2.439
2017-03-10,13.5
2017-05-15,5.7269
2017-07-21,-37.5
2017-07-25,66.6667
2017-10-09,-10.0
2017-10-10,-5.5556
2017-10-13,-29.4118
2017-10-19,0.0
2017-10-23,-15.0
2017-10-31,17.647100000000002
2017-11-14,-8.3333
2018-02-13,-7.2727
2018-04-02,-50.9804
2018-04-19,-20.0
2018-09-27,-15.0
2019-02-13,-5.8824
2019-03-13,53.4375
2019-03-15,22.1996
2019-03-28,0.0
2019-04-05,-7.5
2019-04-09,-38.7387
2019-04-11,72.0588
2019-04-12,-14.5299
2019-04-26,-37.0
2019-04-30,-4.7619
2019-05-22,33.3333
2019-12-23,0.0
2020-07-14,0.0
