ticker,ALDA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-26,0.0
2011-09-14,0.0
2012-04-26,17.647100000000002
2018-01-25,233.3333
2018-05-24,-2.5
2018-06-18,156.4103
2018-07-03,10.0
2018-07-05,9.0909
2018-07-19,-33.3333
2018-08-24,-25.0
2018-09-14,0.0
2018-09-25,33.3333
2019-01-16,-50.0
2019-08-02,49.0
2019-08-26,0.6711
2019-09-06,-1.6667
2019-09-20,-23.7288
2019-09-25,2.2222
2019-10-04,-46.5217
2019-10-24,-41.9512
2019-11-06,47.0588
2019-11-29,-4.7619
2019-12-31,-48.99
2020-05-07,-31.386
2020-06-15,45.7143
2020-06-18,-41.1765
2020-07-22,133.3333
