ticker,BHR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-07,-2.4439
2013-11-08,8.2992
2013-11-11,1.7029
2013-11-12,6.9767
2013-11-18,1.2174
2013-11-19,-8.719899999999999
2013-11-20,-0.5176
2013-11-21,2.6963
2013-11-22,0.1382
2013-11-25,-2.0699
2013-11-26,-4.3213
2013-11-27,0.7855
2013-11-29,-0.341
2013-12-02,0.7331
2013-12-03,-1.1645
2013-12-04,0.8346
2013-12-05,-1.9961
2013-12-06,-0.5464
2013-12-09,-0.0999
2013-12-10,0.4
2013-12-11,-0.7968
2013-12-12,0.251
2013-12-13,-2.654
2013-12-16,1.749
2013-12-17,-0.9606
2013-12-18,1.6335
2013-12-19,-1.6072
2013-12-20,-6.2277000000000005
2013-12-23,-0.9799
2013-12-24,-0.8796
2013-12-26,-2.274
2013-12-27,-0.227
2013-12-30,3.6509
2013-12-31,0.1651
2014-01-02,-0.2747
2014-01-03,1.7631000000000001
2014-01-06,0.9204
2014-01-07,-2.3605
2014-01-08,-0.5495
2014-01-09,-0.5525
2014-01-10,0.0
2014-01-13,-0.1111
2014-01-14,0.1669
2014-01-15,-0.111
2014-01-16,0.3891
2014-01-17,1.5504
2014-01-21,0.0545
2014-01-22,-3.4332
2014-01-23,-5.6433
2014-01-24,-1.8540999999999999
2014-01-27,-0.3656
2014-01-28,0.4281
2014-01-29,1.5225
2014-01-30,-0.06
2014-01-31,-0.9604
2014-02-03,-0.6667
2014-02-04,-1.4643
2014-02-05,-0.9288
2014-02-06,0.375
2014-02-07,0.0623
2014-02-10,2.4891
2014-02-11,-0.2429
2014-02-12,0.1217
2014-02-13,2.8571
2014-02-14,-0.4137
2014-02-18,1.4837
2014-02-19,-2.1637
2014-02-20,-0.0598
2014-02-21,-0.3589
2014-02-24,1.5006
2014-02-25,1.6558000000000002
2014-02-26,-1.5707
2014-02-27,-0.591
2014-02-28,-0.4162
2014-03-03,-0.1194
2014-03-04,2.2714
2014-03-05,0.0
2014-03-06,-0.8767
2014-03-07,-1.7689
2014-03-10,-3.6615
2014-03-11,1.0592
2014-03-12,-0.6165
2014-03-13,-3.536
2014-03-14,0.836
2014-03-17,0.4464
2014-03-18,0.5079
2014-03-19,0.6317
2014-03-20,-1.6320999999999999
2014-03-21,1.1487
2014-03-24,-1.8927
2014-03-25,-2.6367000000000003
2014-03-26,-2.3118
2014-03-27,0.8114
2014-03-28,0.9421
2014-03-31,0.8
2014-04-01,1.3228
2014-04-02,2.4804
2014-04-03,-0.0637
