ticker,OOMA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-17,-15.7692
2015-07-20,-5.0228
2015-07-21,-1.9231
2015-07-22,0.8824
2015-07-23,-1.8465
2015-07-24,0.0
2015-07-27,0.0
2015-07-28,1.4851
2015-07-29,0.1951
2015-07-30,-0.1947
2015-07-31,0.0
2015-08-03,0.6829
2015-08-04,1.7442
2015-08-05,2.8571
2015-08-06,-7.1296
2015-08-07,5.5833
2015-08-10,2.0774
2015-08-11,1.2026
2015-08-12,-1.2797
2015-08-13,4.0741
2015-08-14,-1.6904
2015-08-17,-4.3439
2015-08-18,4.5412
2015-08-19,-0.8145
2015-08-20,-4.7445
2015-08-21,-2.4904
2015-08-24,-10.9037
2015-08-25,-0.2205
2015-08-26,-1.8784999999999998
2015-08-27,2.9279
2015-08-28,0.0
2015-08-31,-3.5011
2015-09-01,2.7211
2015-09-02,-0.1104
2015-09-03,3.9779
2015-09-04,-4.0383
2015-09-08,-0.9967
2015-09-09,0.2237
2015-09-10,-4.0179
2015-09-11,-1.3953
2015-09-14,2.8302
2015-09-15,-3.8991
2015-09-16,-3.8186
2015-09-17,-0.6203
2015-09-18,-6.367
2015-09-21,-2.5333
2015-09-22,1.2312
2015-09-23,0.0
2015-09-24,-4.0541
2015-09-25,-1.6901000000000002
2015-09-28,-5.8739
2015-09-29,0.1522
2015-09-30,5.6231
2015-10-01,5.036
2015-10-02,-2.4657999999999998
2015-10-05,0.5618
2015-10-06,1.2570000000000001
2015-10-07,-0.6897
2015-10-08,2.3611
2015-10-09,7.1913
2015-10-12,3.6709
2015-10-13,2.1978
2015-10-14,0.9558
2015-10-15,-0.8284
2015-10-16,-3.4606
2015-10-19,-0.9889
2015-10-20,0.1248
2015-10-21,3.1172
2015-10-22,0.0
2015-10-23,-1.9346999999999999
2015-10-26,2.2195
2015-10-27,-1.8094000000000001
2015-10-28,0.3686
2015-10-29,-1.224
2015-10-30,-0.1239
2015-11-02,0.4963
2015-11-03,0.8642
2015-11-04,-3.4272
2015-11-05,-9.8859
2015-11-06,-1.6878
2015-11-09,-0.5722
2015-11-10,-2.446
2015-11-11,-2.9499
2015-11-12,-1.5198
2015-11-13,-1.5432000000000001
2015-11-16,-0.4702
2015-11-17,2.2047
2015-11-18,0.0
2015-11-19,-1.5408
2015-11-20,-2.8169
2015-11-23,0.6441
2015-11-24,-2.56
2015-11-25,8.3744
2015-11-27,4.0909
2015-11-30,12.8093
2015-12-01,0.9032
2015-12-02,-9.8465
