ticker,VYGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-11,26.7857
2015-11-12,-1.4085
2015-11-13,3.4286
2015-11-16,-1.6575
2015-11-17,7.5843
2015-11-18,4.4386
2015-11-19,9.8
2015-11-20,4.235
2015-11-23,2.0533
2015-11-24,11.3014
2015-11-25,4.8846
2015-11-27,-3.1536
2015-11-30,-4.6195
2015-12-01,10.5597
2015-12-02,0.0359
2015-12-03,1.5074999999999998
2015-12-04,3.43
2015-12-07,3.2479
2015-12-08,-0.298
2015-12-09,-17.901
2015-12-10,-0.5259
2015-12-11,-3.5380000000000003
2015-12-14,-11.4671
2015-12-15,0.0
2015-12-16,-6.4762
2015-12-17,5.3462
2015-12-18,3.6249000000000002
2015-12-21,-2.0989
2015-12-22,-1.2387
2015-12-23,-0.1447
2015-12-24,1.256
2015-12-28,1.8607
2015-12-29,7.6347000000000005
2015-12-30,-0.3481
2015-12-31,-4.3668
2016-01-04,-3.4247
2016-01-05,-3.357
2016-01-06,2.4951
2016-01-07,-9.7375
2016-01-08,-0.4231
2016-01-11,-12.3208
2016-01-12,-0.9085
2016-01-13,-9.6577
2016-01-14,-5.2774
2016-01-15,-1.5714000000000001
2016-01-19,-8.2729
2016-01-20,-2.4525
2016-01-21,-6.6504
2016-01-22,7.4718
2016-01-25,-0.4042
2016-01-26,-6.1688
2016-01-27,-4.4983
2016-01-28,-5.2536
2016-01-29,2.1033
2016-02-01,3.839
2016-02-02,7.394
2016-02-03,-3.1906
2016-02-04,-8.9332
2016-02-05,-1.3333
2016-02-08,-2.4131
2016-02-09,2.7695
2016-02-10,0.2887
2016-02-11,-2.975
2016-02-12,0.9891
2016-02-16,-2.9383
2016-02-17,0.2018
2016-02-18,1.3092
2016-02-19,0.2982
2016-02-22,-0.892
2016-02-23,-2.0
2016-02-24,-0.6122
2016-02-25,2.5667
2016-02-26,0.4004
2016-02-29,-4.5862
2016-03-01,-10.5538
2016-03-02,8.0607
2016-03-03,8.8649
2016-03-04,-8.5402
2016-03-07,0.0
2016-03-08,-0.6515
2016-03-09,-1.2022
2016-03-10,-2.6549
2016-03-11,9.7727
2016-03-14,3.9337
2016-03-15,-1.2948
2016-03-16,4.2381
2016-03-17,2.2265
2016-03-18,-9.1856
2016-03-21,-2.6069
2016-03-22,0.1071
2016-03-23,-1.6042999999999998
2016-03-24,-5.0
2016-03-28,0.0
2016-03-29,2.9748
2016-03-30,-1.7778
2016-03-31,-1.2443
2016-04-01,5.4983
2016-04-04,-3.2573
