ticker,SNAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-08-21,890.0
2008-09-26,1.0101
2008-10-29,90.0
2008-12-24,-47.3684
2009-04-02,-49.0
2009-05-04,-60.7843
2009-05-19,-50.0
2009-05-20,0.0
2009-05-29,0.0
2009-06-01,-30.0
2009-06-05,0.0
2009-06-24,0.0
2009-07-30,-28.5714
2009-08-31,20.0
2009-11-24,233.3333
2010-05-03,155.0
2010-05-04,0.0
2010-06-25,16.6667
2010-07-27,-41.1765
2010-08-12,42.8571
2011-01-03,-4.0
2011-01-04,4.1667
2011-02-14,-70.0
2011-02-15,0.0
2011-02-16,-3.3333
2011-02-24,-31.0345
2011-02-25,15.0
2011-03-02,-30.4348
2011-03-04,25.0
2011-03-08,2.0
2011-03-10,7.8431
2011-03-14,54.5455
2011-03-15,8.8235
2011-03-17,2.7027
2011-03-18,31.5789
2011-03-21,0.0
2011-03-22,60.0
2011-03-28,87.5
2011-03-29,0.0
2011-03-31,0.0
2011-05-13,-32.0
2011-05-17,0.0
2011-05-25,-50.9804
2011-05-26,20.0
2011-06-03,-3.3333
2011-06-06,75.8621
2011-06-09,-0.9804
2011-06-20,-62.3762
2011-06-22,165.7895
2011-06-24,0.0
2011-07-06,-38.6139
2011-08-10,0.0
2011-09-13,0.0
2011-09-20,-54.8387
2011-09-22,121.4286
2011-12-30,-54.8387
2012-02-14,0.0
2012-03-28,-27.8571
2012-03-29,-0.9901
2012-09-06,-9.0
2012-11-30,-34.0659
2012-12-14,0.0
2012-12-17,11.6667
2013-01-23,-10.4478
2013-05-10,33.3333
2013-05-15,-12.5
2013-11-15,0.0
2013-12-23,0.0
2014-02-27,0.0
2014-12-29,28.5714
2014-12-30,-11.1111
2015-04-29,0.0
2015-06-29,0.0
2015-08-12,0.0
2016-09-06,0.0
2016-10-11,2.8906
2017-02-21,9.3394
2017-02-23,-11.1111
2017-11-27,-12.5
2018-03-23,100.0
2018-04-30,28.5714
2018-05-29,0.0
2019-02-07,-70.0
2019-03-20,0.0
2019-08-26,-7.2222
2019-10-03,0.0
2019-11-06,-60.0798
2019-12-19,0.0
2020-02-26,0.0
2020-04-28,-25.0
2020-06-10,0.0
