ticker,FEAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,-0.5051
2020-05-01,0.0
2020-05-04,-0.1015
2020-05-05,0.0173
2020-05-06,0.1555
2020-05-07,0.0304
2020-05-08,1.4199
2020-05-11,-0.5
2020-05-12,1.004
2020-05-13,0.996
2020-05-14,0.1478
2020-05-15,0.2164
2020-05-18,0.1276
2020-05-19,0.0
2020-05-20,0.4902
2020-05-21,0.0
2020-05-22,0.0976
2020-05-26,-0.6335
2020-05-27,0.1471
2020-05-28,-0.0979
2020-05-29,0.4902
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-08,-0.0976
2020-06-09,0.4883
2020-06-10,2.0408
2020-06-11,-0.9524
2020-06-12,0.4808
2020-06-15,0.4785
2020-06-16,-0.0952
2020-06-17,0.6673
2020-06-18,-0.4735
2020-06-19,0.1903
2020-06-22,-0.5698
2020-06-23,0.9551
2020-06-24,-0.6623
2020-06-25,2.3810000000000002
2020-06-26,-0.9302
2020-06-29,1.0329
2020-06-30,2.0446
2020-07-01,-0.1821
2020-07-02,-0.5474
2020-07-06,3.3028
2020-07-07,-0.9769
2020-07-08,0.2691
2020-07-09,0.3578
2020-07-10,-0.0891
2020-07-13,-1.3381
2020-07-14,-0.5425
2020-07-15,-0.0909
2020-07-16,11.101
2020-07-17,0.7371
2020-07-20,-5.5285
2020-07-21,4.9914
2020-07-22,-0.082
2020-07-23,-3.6095
2020-07-24,-0.5106
2020-07-27,-2.1386
2020-07-28,-0.5245
2020-07-29,-1.1424
2020-07-30,-2.8444000000000003
2020-07-31,-3.1107
