ticker,CDVIQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-14,-5.0
2006-12-15,-0.7287
2006-12-18,-1.5497999999999998
2006-12-19,2.7340999999999998
2006-12-20,2.8226
2006-12-21,-0.2353
2006-12-22,-0.5503
2006-12-26,-3.004
2006-12-27,-0.652
2006-12-28,0.4922
2006-12-29,2.449
2007-01-03,-3.8247
2007-01-04,-1.9884
2007-01-05,2.1978
2007-01-08,-0.9926
2007-01-09,0.2506
2007-01-10,-0.1677
2007-01-11,0.8358
2007-01-12,0.1656
2007-01-16,0.2479
2007-01-17,-0.9893
2007-01-18,-0.0833
2007-01-19,-0.0833
2007-01-22,-0.0834
2007-01-23,1.0851
2007-01-24,-0.9909
2007-01-25,0.0834
2007-01-26,0.8333
2007-01-29,-1.405
2007-01-30,1.8441
2007-01-31,1.8107
2007-02-01,-0.9701
2007-02-02,-0.898
2007-02-05,-0.7414
2007-02-06,0.332
2007-02-07,0.4963
2007-02-08,-0.4115
2007-02-09,0.9091
2007-02-12,-1.638
2007-02-13,0.4163
2007-02-14,0.1658
2007-02-15,0.3311
2007-02-16,0.4125
2007-02-20,0.2465
2007-02-21,1.0645
2007-02-22,2.6774
2007-02-23,-1.3428
2007-02-26,0.0801
2007-02-27,-2.008
2007-02-28,-0.645
2007-03-01,-1.6434
2007-03-02,2.7569
2007-03-05,-1.1381999999999999
2007-03-06,0.5757
2007-03-07,1.7989000000000002
2007-03-08,-0.0803
2007-03-09,-0.4019
2007-03-12,-1.6949
2007-03-13,-0.4926
2007-03-14,0.495
2007-03-15,0.0
2007-03-16,0.2463
2007-03-19,0.3276
2007-03-20,0.0
2007-03-21,1.2245
2007-03-22,-0.4032
2007-03-23,-0.2429
2007-03-26,1.0552
2007-03-27,-0.4016
2007-03-28,0.8065
2007-03-29,1.44
2007-03-30,-3.7066
2007-04-02,2.2113
2007-04-03,0.8814
2007-04-04,-1.9062999999999999
2007-04-05,4.8583
2007-04-09,10.9653
2007-04-10,3.5491
2007-04-11,0.8065
2007-04-12,0.6667
2007-04-13,3.1788
2007-04-16,-2.1181
2007-04-17,-0.8525
2007-04-18,-2.2487
2007-04-19,0.406
2007-04-20,-0.9434
2007-04-23,0.3401
2007-04-24,-0.2034
2007-04-25,2.4457
2007-04-26,-0.4642
2007-04-27,-0.7328
2007-04-30,-2.2819
2007-05-01,0.4121
2007-05-02,2.9412000000000003
2007-05-03,-2.2591
2007-05-04,0.2719
2007-05-07,-1.0169
2007-05-08,1.3699
