ticker,QTT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-14,128.1429
2018-09-17,-41.077
2018-09-18,-1.5939999999999999
2018-09-19,2.4838
2018-09-20,-2.3182
2018-09-21,-7.7044
2018-09-24,-15.0284
2018-09-25,-2.0633
2018-09-26,-0.2809
2018-09-27,2.6761
2018-09-28,-2.1948
2018-10-01,-5.3296
2018-10-02,-1.037
2018-10-03,-0.7485
2018-10-04,0.905
2018-10-05,9.1181
2018-10-08,1.3699
2018-10-09,-0.5405
2018-10-10,-4.212
2018-10-11,2.5532
2018-10-12,-0.4149
2018-10-15,2.7778
2018-10-16,8.2432
2018-10-17,0.6242
2018-10-18,-3.2258
2018-10-19,-6.7949
2018-10-22,1.3755
2018-10-23,-6.5129
2018-10-24,-6.6763
2018-10-25,0.6998
2018-10-26,-5.7915
2018-10-29,-13.7705
2018-10-30,-1.1407
2018-10-31,4.6154
2018-11-01,10.1103
2018-11-02,-1.0017
2018-11-05,1.5177
2018-11-06,-2.1595
2018-11-07,0.6791
2018-11-08,0.5059
2018-11-09,0.0
2018-11-12,-12.9195
2018-11-13,0.578
2018-11-14,3.2567
2018-11-15,2.9685
2018-11-16,-3.0631
2018-11-19,-5.0186
2018-11-20,-9.002
2018-11-21,2.3656
2018-11-23,-4.8319
2018-11-26,2.8698
2018-11-27,1.9313
2018-11-28,-2.3158
2018-11-29,-1.7241
2018-11-30,-1.5351
2018-12-03,-2.2272
2018-12-04,3.1891
2018-12-06,-1.3245
2018-12-07,-3.5794
2018-12-10,1.3921000000000001
2018-12-11,-5.0343
2018-12-12,8.4337
2018-12-13,16.0
2018-12-14,-2.2989
2018-12-17,0.0
2018-12-18,4.3137
2018-12-19,1.6917
2018-12-20,-1.8484
2018-12-21,-3.7664999999999997
2018-12-24,-0.5871
2018-12-26,20.4724
2018-12-27,-1.9607999999999999
2018-12-28,1.8333
2018-12-31,3.928
2019-01-02,10.3937
2019-01-03,-0.428
2019-01-04,6.0172
2019-01-07,6.7568
2019-01-08,7.9747
2019-01-09,4.9238
2019-01-10,6.1453
2019-01-11,-5.1579
2019-01-14,-4.9945
2019-01-15,5.8411
2019-01-16,-16.6667
2019-01-17,11.1258
2019-01-18,1.0727
2019-01-22,-3.6557
2019-01-23,2.448
2019-01-24,-1.9116
2019-01-25,11.4495
2019-01-28,-3.1694
2019-01-29,5.079
2019-01-30,4.189
2019-01-31,12.5773
2019-02-01,11.2637
2019-02-04,-4.2798
2019-02-05,4.6432
2019-02-06,-5.9162
