ticker,CLSK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-03-07,47.4359
2013-04-18,-12.1739
2014-03-31,98.0198
2014-04-10,102.5
2014-04-22,22.2222
2014-04-23,13.1313
2014-04-24,1.7856999999999998
2014-04-28,-25.4386
2014-06-05,17.647100000000002
2014-06-26,0.2
2014-06-27,0.5988
2014-07-09,1.1905000000000001
2014-07-16,11.7647
2014-07-23,-12.2807
2014-07-30,0.0
2014-07-31,7.0
2014-08-01,-6.5421
2014-08-04,-5.0
2014-08-11,-15.7895
2014-09-10,-7.5
2015-02-26,62.1622
2015-05-12,-83.1667
2015-05-13,1088.1188
2015-06-23,-25.0
2015-06-25,0.0
2015-07-29,-36.6667
2015-07-30,57.8947
2015-08-25,0.0
2015-09-08,0.0
2015-09-22,16.6667
2015-09-29,0.5714
2015-10-13,-14.7727
2015-12-17,0.0
2016-01-29,0.0
2016-03-28,-25.0
2016-03-31,33.3333
2016-04-11,0.0
2016-04-12,16.6667
2016-04-29,7.1429
2016-05-02,-20.0
2016-05-13,8.3333
2016-05-16,-7.6923
2016-05-18,5.0
2016-05-19,-36.5079
2016-05-20,50.0
2016-05-25,8.3333
2016-05-26,-1.5385
2016-05-27,1.5625
2016-06-01,-7.6923
2016-06-03,3.3333
2016-06-16,4.8387
2016-06-17,-7.6923
2016-06-20,0.0
2016-06-22,0.0
2016-06-23,10.0
2016-06-24,-1.5152
2016-06-29,7.6923
2016-07-06,-8.5714
2016-07-08,-0.3125
2016-07-13,-5.9561
2016-07-18,0.0
2016-07-19,10.0
2016-07-22,0.0
2016-08-03,-9.0909
2016-08-04,3.3333
2016-08-12,-3.2258
2016-08-19,-6.6667
2016-08-25,33.9286
2016-08-26,-6.6667
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,4.2857
2016-09-08,0.0
2016-10-10,8.2192
2016-10-11,-6.3291
2016-11-16,-5.6757
2016-11-21,-9.7421
2016-11-22,42.8571
2016-11-23,-22.2222
2016-11-29,0.0
2016-12-22,0.0
2016-12-23,0.0
2017-01-03,1.4285999999999999
2017-01-10,-1.4085
2017-01-30,-14.2857
2017-02-01,33.3333
2017-02-02,6.25
2017-02-06,-5.8824
2017-02-07,6.25
2017-02-16,0.0
2017-02-17,0.0
2017-03-17,-16.4706
2017-03-20,26.7606
2017-03-23,-33.3333
2017-03-24,66.6667
2017-04-04,-20.0
2017-04-13,-31.25
2017-04-17,63.6364
2017-04-25,0.0
2017-05-02,-11.1111
2017-05-10,-2.5
