ticker,SC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-23,5.0
2014-01-24,-3.9286
2014-01-27,2.437
2014-01-28,3.5887000000000002
2014-01-29,-0.2725
2014-01-30,0.5855
2014-01-31,-0.5433
2014-02-03,-1.4826
2014-02-04,-0.2772
2014-02-05,0.3971
2014-02-06,-2.2152
2014-02-07,1.4563
2014-02-10,0.5582
2014-02-11,0.6344
2014-02-12,-0.4728
2014-02-13,0.9105
2014-02-14,-0.3138
2014-02-18,0.3542
2014-02-19,-0.549
2014-02-20,0.276
2014-02-21,-0.3146
2014-02-24,-0.2761
2014-02-25,-0.8703
2014-02-26,-0.7981
2014-02-27,0.0805
2014-02-28,1.8087
2014-03-03,2.2503
2014-03-04,-1.5058
2014-03-05,-1.9992
2014-03-06,-1.08
2014-03-07,-1.1727
2014-03-10,-0.2455
2014-03-11,-1.8048
2014-03-12,-0.3342
2014-03-13,-4.1911
2014-03-14,1.3998
2014-03-17,3.7964
2014-03-18,2.9093999999999998
2014-03-19,-0.2019
2014-03-20,-1.376
2014-03-21,-1.3952
2014-03-24,-3.2876
2014-03-25,-0.3442
2014-03-26,-0.0864
2014-03-27,-0.1296
2014-03-28,1.6876
2014-03-31,2.4681
2014-04-01,-0.3322
2014-04-02,0.4583
2014-04-03,-1.3687
2014-04-04,-3.3221
2014-04-07,-2.2184
2014-04-08,0.4893
2014-04-09,0.9296
2014-04-10,-0.3947
2014-04-11,-1.8494000000000002
2014-04-14,-0.2692
2014-04-15,2.1143
2014-04-16,1.4097
2014-04-17,-0.391
2014-04-21,-0.2617
2014-04-22,0.8308
2014-04-23,-0.6071
2014-04-24,-0.2182
2014-04-25,-0.4373
2014-04-28,-1.4493
2014-04-29,1.7825
2014-04-30,-0.4378
2014-05-01,-0.8795
2014-05-02,-0.1775
2014-05-05,1.0222
2014-05-06,-0.8799
2014-05-07,-2.1749
2014-05-08,0.9982
2014-05-09,-1.2664
2014-05-12,-0.0458
2014-05-13,-0.6874
2014-05-14,-0.5538
2014-05-15,-1.4849
2014-05-16,-0.7065
2014-05-19,0.6167
2014-05-20,0.1886
2014-05-21,1.7412
2014-05-22,-0.555
2014-05-23,-1.3023
2014-05-27,-0.0471
2014-05-28,-2.3102
2014-05-29,-4.6332
2014-05-30,-0.5567
2014-06-02,0.0509
2014-06-03,2.238
2014-06-04,0.8458
2014-06-05,0.1973
2014-06-06,1.034
2014-06-09,0.4873
2014-06-10,2.0854
2014-06-11,-8.5511
2014-06-12,-1.3506
