ticker,TIGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-20,36.5
2019-03-21,-4.304
2019-03-22,3.5407
2019-03-25,4.4362
2019-03-26,6.6372
2019-03-27,6.805
2019-03-28,-4.7397
2019-03-29,5.5465
2019-04-01,8.1917
2019-04-02,6.5714
2019-04-03,2.815
2019-04-04,0.3259
2019-04-05,-0.5848
2019-04-08,-2.6797
2019-04-09,-0.9402
2019-04-10,3.1186
2019-04-11,11.7686
2019-04-12,3.5882
2019-04-15,9.0857
2019-04-16,14.5237
2019-04-17,-27.5909
2019-04-18,-2.5738
2019-04-22,-6.5722000000000005
2019-04-23,6.2759
2019-04-24,-3.1149
2019-04-25,-2.0094
2019-04-26,14.5591
2019-04-29,-6.8019
2019-04-30,-12.6761
2019-05-01,-1.0264
2019-05-02,-2.5185
2019-05-03,0.7599
2019-05-06,-4.902
2019-05-07,-13.4021
2019-05-08,-1.7399
2019-05-09,-16.0298
2019-05-10,-7.9911
2019-05-13,-6.0314
2019-05-14,-1.1553
2019-05-15,7.1429
2019-05-16,-15.3939
2019-05-17,-17.3352
2019-05-20,-2.4263
2019-05-21,11.0124
2019-05-22,-7.84
2019-05-23,-6.25
2019-05-24,-2.037
2019-05-28,1.3233
2019-05-29,-3.1716
2019-05-30,-0.7707
2019-05-31,-8.3495
2019-06-03,-4.8729
2019-06-04,8.2405
2019-06-05,-8.4362
2019-06-06,-4.2697
2019-06-07,1.4085
2019-06-10,1.1574
2019-06-11,5.492
2019-06-12,-4.3384
2019-06-13,-2.4943
2019-06-14,-4.4186
2019-06-17,34.7932
2019-06-18,-4.5126
2019-06-19,0.9452
2019-06-20,-0.3745
2019-06-21,-3.3835
2019-06-24,-4.4747
2019-06-25,0.8147
2019-06-26,2.6263
2019-06-27,3.3465
2019-06-28,6.0952
2019-07-01,-1.9748999999999999
2019-07-02,-4.3956
2019-07-03,-0.7663
2019-07-05,-2.8958
2019-07-08,0.0
2019-07-09,7.5547
2019-07-10,-2.9575
2019-07-11,-6.6667
2019-07-12,2.449
2019-07-15,-1.3944
2019-07-16,-1.8182
2019-07-17,-3.9095
2019-07-18,-1.0707
2019-07-19,1.2987
2019-07-22,-7.906
2019-07-23,1.6240999999999999
2019-07-24,-0.2283
2019-07-25,-2.2883
2019-07-26,-1.6393
2019-07-29,2.6189999999999998
2019-07-30,0.0
2019-07-31,-2.5522
2019-08-01,-1.4285999999999999
2019-08-02,-3.3816
2019-08-05,0.25
2019-08-06,1.4963
2019-08-07,5.6511
