ticker,IBKR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-04,4.2986
2007-05-07,-4.9521
2007-05-08,-4.2017
2007-05-09,-0.6316
2007-05-10,-2.2246
2007-05-11,-1.6612
2007-05-14,1.5424
2007-05-15,1.1935
2007-05-16,1.0365
2007-05-17,-3.3605
2007-05-18,-2.5622
2007-05-21,1.7656
2007-05-22,1.698
2007-05-23,-1.5608
2007-05-24,-0.4425
2007-05-25,1.0741
2007-05-29,0.9527
2007-05-30,-5.9528
2007-05-31,-1.5824
2007-06-01,4.0784
2007-06-04,-1.6579000000000002
2007-06-05,0.6513
2007-06-06,2.6266
2007-06-07,-0.5935
2007-06-08,3.5075
2007-06-11,1.8025
2007-06-12,1.6289
2007-06-13,-2.7526
2007-06-14,-1.6122999999999998
2007-06-15,1.7844
2007-06-18,-1.2522
2007-06-19,-1.0145
2007-06-20,-0.9517
2007-06-21,-0.7761
2007-06-22,-1.6387
2007-06-25,-1.0607
2007-06-26,2.8708
2007-06-27,1.3021
2007-06-28,-0.0367
2007-06-29,-0.3306
2007-07-02,0.4792
2007-07-03,-0.1101
2007-07-05,-0.4407
2007-07-06,-7.8938
2007-07-09,-2.483
2007-07-10,-3.5318
2007-07-11,0.9366
2007-07-12,2.2353
2007-07-13,-1.0726
2007-07-16,-1.8349
2007-07-17,-0.5517
2007-07-18,-1.7092
2007-07-19,-0.8692
2007-07-20,1.3591
2007-07-23,-0.2163
2007-07-24,-4.6814
2007-07-25,-0.864
2007-07-26,0.8257
2007-07-27,4.3221
2007-07-30,7.6754999999999995
2007-07-31,-1.6606
2007-08-01,-0.7002
2007-08-02,1.7835
2007-08-03,-4.2379999999999995
2007-08-06,-1.3617
2007-08-07,3.6238
2007-08-08,2.2898
2007-08-09,2.035
2007-08-10,0.2393
2007-08-13,0.4775
2007-08-14,-1.5446
2007-08-15,-3.218
2007-08-16,-0.6234
2007-08-17,3.2622
2007-08-20,0.243
2007-08-21,2.3434
2007-08-22,4.9743
2007-08-23,-0.2256
2007-08-24,0.8292
2007-08-27,-0.8598
2007-08-28,-0.9804
2007-08-29,2.0944
2007-08-30,-0.746
2007-08-31,0.5637
2007-09-04,0.9342
2007-09-05,-1.9252
2007-09-06,-0.755
2007-09-07,-0.9509
2007-09-10,-1.4977
2007-09-11,-1.0916
2007-09-12,2.5227
2007-09-13,0.4229
2007-09-14,0.0
2007-09-17,0.1914
2007-09-18,3.248
2007-09-19,1.5173999999999999
2007-09-20,0.1823
2007-09-21,0.9825
