ticker,QEXXF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-16,41.2587
2014-04-17,-2.1246
2014-04-25,33.8672
2014-04-30,-3.9043
2014-05-01,-9.9607
2014-05-27,1.0189
2014-06-03,-8.0692
2014-06-10,-11.442
2014-06-17,-1.2389000000000001
2014-06-30,4.8387
2014-07-02,-11.2821
2014-07-07,7.7071
2014-07-08,21.6458
2014-07-09,-2.5
2014-07-10,-0.1508
2014-07-11,-6.1934
2014-07-15,1.1272
2014-07-16,10.5096
2014-07-17,-6.6282
2014-07-21,-5.7099
2014-07-22,6.0556
2014-07-28,3.7037
2014-07-30,1.9344999999999999
2014-08-01,-9.4891
2014-08-05,-7.9032
2014-08-07,-2.8021000000000003
2014-08-08,6.1261
2014-08-13,-2.5467
2014-08-14,1.5678999999999998
2014-08-19,-4.9743
2014-08-20,-1.8051
2014-08-26,3.4926
2014-08-27,-6.3943
2014-08-28,-4.5541
2014-08-29,16.501
2014-09-02,-14.6758
2014-09-24,-19.2
2014-09-26,23.2673
2014-10-15,-20.2811
2014-10-24,10.9887
2014-10-29,0.0
2014-10-31,-4.6809
2014-11-07,-4.7619
2014-11-20,-15.375
2014-11-21,2.2157
2014-11-25,0.8129
2014-11-26,0.0179
2014-11-28,-16.3024
2014-12-05,2.7397
2014-12-08,-18.0
2014-12-10,-3.3283
2014-12-12,0.8673
2014-12-15,11.308
2014-12-17,24.3446
2014-12-19,7.2289
2014-12-22,-16.0639
2014-12-29,9.4959
2014-12-30,1.9293
2014-12-31,2.5487
2015-01-02,0.0
2015-01-05,-3.5088
2015-01-07,-6.0606
2015-01-16,-20.0
2015-01-21,-0.8065
2015-02-03,1.626
2015-02-11,11.55
2015-02-13,2.5549
2015-02-17,-13.6364
2015-02-20,-0.8097
2015-02-23,-2.8571
2015-03-04,-0.4202
2015-03-17,-3.2173
2015-03-31,-1.0354
2015-04-02,-0.4405
2015-04-07,0.083
2015-04-10,0.9671
2015-04-13,1.5873
2015-04-14,-0.8621
2015-04-21,-8.6957
2015-04-24,0.4762
2015-05-01,-0.9479
2015-06-15,-5.2632
2015-07-31,-19.697
2015-08-04,16.1557
2015-08-05,-6.8697
2015-08-06,0.5814
2015-08-17,-17.7023
2015-08-18,0.0878
2015-08-19,5.9649
2015-08-21,-6.4156
2015-08-24,-21.1853
2015-09-04,9.5398
2015-09-23,26.9467
2015-10-07,7.95
2015-10-09,2.8037
2015-10-13,-15.6364
2015-12-29,-31.7241
2016-01-22,14.7727
2016-01-26,0.495
2016-02-18,-24.5211
2016-03-21,34.5903
2016-03-23,18.6961
2016-04-01,7.2174
2016-04-12,4.2337
2016-04-27,-4.0211
2016-05-03,-6.0939
2016-05-13,-20.0991
2016-05-17,4.6813
2016-05-25,-11.2069
2016-05-31,1.9417
2016-06-07,-20.0
2016-06-15,46.4286
2016-08-11,-59.3496
2016-08-22,10.0
2016-09-19,-5.4545
2016-11-29,9.6154
2016-11-30,-12.2807
2016-12-07,20.0
2016-12-09,-8.3333
2016-12-12,9.0909
2016-12-14,0.0
2016-12-15,0.0
2016-12-19,0.0
2016-12-29,-16.6667
2017-09-15,-98.0
2017-12-11,0.0
2017-12-22,-90.0
2018-01-02,0.0
2018-02-20,0.0
2018-04-25,0.0
2018-05-29,0.0
2018-06-05,0.0
2018-06-25,-90.0
2018-08-01,900.0
2018-09-19,-99.0
2018-10-10,9900.0
2018-10-29,0.0
2018-11-12,0.0
2018-12-31,-99.0
2019-02-01,9900.0
2019-02-07,0.0
2019-03-22,0.0
2019-08-09,0.0
2019-12-11,0.0
2019-12-30,-90.0
2020-01-02,900.0
2020-05-26,0.0
