ticker,EXRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-04-14,-1.9417
2009-04-15,-1.9802
2009-04-16,-5.0505
2009-04-21,4.2553
2009-04-22,-1.0204
2009-04-23,-1.0309
2009-04-24,-6.25
2009-04-30,0.0
2009-05-06,10.0
2009-05-11,0.0
2009-05-15,-5.0505
2009-05-18,5.3191
2009-05-21,-9.0909
2009-05-27,0.0
2009-06-03,-16.6667
2009-06-04,0.0
2009-06-08,0.0
2009-06-15,-20.0
2009-06-16,65.0
2009-06-19,-24.2424
2009-06-22,20.0
2009-06-23,7.7778
2009-06-24,2.0619
2009-06-25,0.0
2009-06-26,0.0
2009-06-29,-8.0808
2009-06-30,-17.5824
2009-07-02,21.3333
2009-07-06,0.0
2009-07-07,-41.7582
2009-07-08,79.2453
2009-07-09,8.4211
2009-07-10,0.0
2009-07-13,-22.3301
2009-07-14,16.25
2009-07-15,-24.7312
2009-07-16,-7.1429
2009-07-17,43.0769
2009-07-20,-32.2581
2009-07-21,49.2063
2009-07-22,-1.0638
2009-07-23,-13.9785
2009-07-24,0.0
2009-07-27,-18.75
2009-07-28,-1.5385
2009-07-29,1.5625
2009-07-30,0.0
2009-07-31,40.0
2009-08-03,-30.7692
2009-08-04,-1.5873
2009-08-06,20.9677
2009-08-12,-6.6667
2009-08-18,-1.4285999999999999
2009-08-20,-1.4493
2009-08-21,-4.4118
2009-08-24,0.0
2009-08-26,-6.1538
2009-08-27,22.9508
2009-08-28,9.3333
2009-08-31,0.0
2009-09-01,0.0
2009-09-02,-9.7561
2009-09-03,1.3514
2009-09-04,-6.6667
2009-09-08,1.4285999999999999
2009-09-10,-1.4085
2009-09-11,0.0
2009-09-14,14.2857
2009-09-15,0.0
2009-09-16,-13.75
2009-09-17,-5.7971
2009-09-18,-1.5385
2009-09-21,-3.125
2009-09-22,6.4516
2009-09-23,-9.0909
2009-09-24,8.3333
2009-09-25,0.0
2009-09-28,-10.7692
2009-09-29,-5.1724
2009-09-30,0.0
2009-10-01,0.0
2009-10-02,0.0
2009-10-07,-9.0909
2009-10-08,0.0
2009-10-13,-20.0
2009-10-14,25.0
2009-10-19,-14.0
2009-10-20,4.6512
2009-10-22,0.0
2009-10-23,0.0
2009-10-26,-11.1111
2009-10-30,-25.0
2009-11-02,100.0
2009-11-03,-33.3333
2009-11-04,-12.5
2009-11-05,-14.2857
2009-11-06,-16.6667
2009-11-09,-20.0
2009-11-10,-5.0
2009-11-11,-7.8947
2009-11-12,-22.8571
