ticker,CFFN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2051
2000-01-04,-0.6623
2000-01-05,0.0
2000-01-06,-0.6667
2000-01-07,1.0067
2000-01-10,-0.3322
2000-01-11,0.3333
2000-01-12,-0.9967
2000-01-13,0.6711
2000-01-14,2.0
2000-01-18,-0.6536
2000-01-19,0.6579
2000-01-20,1.9607999999999999
2000-01-21,-0.641
2000-01-24,-1.2903
2000-01-25,0.0
2000-01-26,-0.6536
2000-01-27,-0.3289
2000-01-28,2.3102
2000-01-31,-0.3226
2000-02-01,0.3236
2000-02-02,-0.1548
2000-02-03,-0.6536
2000-02-04,-0.3289
2000-02-07,-0.9901
2000-02-08,0.0
2000-02-09,-0.3333
2000-02-10,-0.3344
2000-02-11,-0.3356
2000-02-14,-1.0101
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,0.0
2000-02-18,-0.6803
2000-02-22,1.0274
2000-02-23,0.339
2000-02-24,-1.3514
2000-02-25,-0.6849
2000-02-28,0.0
2000-02-29,5.5172
2000-03-01,-1.3072
2000-03-02,0.0
2000-03-03,0.6623
2000-03-06,-0.6579
2000-03-07,-2.649
2000-03-08,2.7211
2000-03-09,1.3245
2000-03-10,-2.6144
2000-03-13,0.6711
2000-03-14,1.6667
2000-03-15,0.0
2000-03-16,2.2951
2000-03-17,0.641
2000-03-20,-1.9108
2000-03-21,0.0
2000-03-22,-1.2987
2000-03-23,-1.3158
2000-03-24,-1.3333
2000-03-27,0.6757
2000-03-28,0.0
2000-03-29,-0.6711
2000-03-30,0.6757
2000-03-31,1.3423
2000-04-03,2.649
2000-04-04,-0.9677
2000-04-05,-1.6287
2000-04-06,0.0
2000-04-07,1.3245
2000-04-10,-1.9607999999999999
2000-04-11,-1.0
2000-04-12,0.3367
2000-04-13,0.0
2000-04-14,-1.3423
2000-04-17,2.0408
2000-04-18,-1.3333
2000-04-19,-1.3514
2000-04-20,0.6849
2000-04-24,-0.6803
2000-04-25,2.7397
2000-04-26,0.6667
2000-04-27,3.3113
2000-04-28,0.0
2000-05-01,0.0
2000-05-02,-3.2051
2000-05-03,3.8146
2000-05-04,2.9032
2000-05-05,0.3135
2000-05-08,-0.3125
2000-05-09,0.0
2000-05-10,0.9404
2000-05-11,1.2422
2000-05-12,0.6135
2000-05-15,0.6098
2000-05-16,0.0
2000-05-17,0.6061
2000-05-18,-0.6024
2000-05-19,0.6061
2000-05-22,0.0
2000-05-23,0.0
2000-05-24,2.4096
2000-05-25,0.5882
