ticker,WERN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.1111
2000-01-04,-0.2294
2000-01-05,1.6092
2000-01-06,-0.4977
2000-01-07,2.9613
2000-01-10,-2.6549
2000-01-11,-1.8182
2000-01-12,1.8519
2000-01-13,-0.9091
2000-01-14,0.2294
2000-01-18,-1.1442
2000-01-19,0.463
2000-01-20,-2.3041
2000-01-21,2.1226
2000-01-24,-8.0831
2000-01-25,5.5276
2000-01-26,0.0
2000-01-27,-1.4285999999999999
2000-01-28,-0.4831
2000-01-31,-0.9709
2000-02-01,1.9607999999999999
2000-02-02,-1.4423
2000-02-03,0.4878
2000-02-04,2.1845
2000-02-07,-0.2375
2000-02-08,0.0
2000-02-09,3.5714
2000-02-10,-4.8276
2000-02-11,1.4493
2000-02-14,-0.9524
2000-02-15,3.6058
2000-02-16,2.0882
2000-02-17,-4.5455
2000-02-18,2.8571
2000-02-22,-0.463
2000-02-23,-0.4651
2000-02-24,-0.9346
2000-02-25,-2.0047
2000-02-28,-3.7304
2000-02-29,7.0
2000-03-01,-2.3364
2000-03-02,-0.4785
2000-03-03,0.4808
2000-03-06,-0.4785
2000-03-07,-2.8846
2000-03-08,-1.9802
2000-03-09,4.0404
2000-03-10,-1.9417
2000-03-13,-0.9901
2000-03-14,1.0
2000-03-15,1.9802
2000-03-16,10.1942
2000-03-17,3.0837
2000-03-20,0.0
2000-03-21,3.4188
2000-03-22,5.3719
2000-03-23,2.7451
2000-03-24,-2.2901
2000-03-27,1.5625
2000-03-28,-0.3846
2000-03-29,0.3861
2000-03-30,2.3077
2000-03-31,2.2556
2000-04-03,-1.8382
2000-04-04,2.809
2000-04-05,-1.6393
2000-04-06,-0.7407
2000-04-07,0.3731
2000-04-10,-4.461
2000-04-11,5.8366
2000-04-12,3.6765
2000-04-13,0.1418
2000-04-14,-2.8369
2000-04-17,0.7299
2000-04-18,-1.4493
2000-04-19,4.4118
2000-04-20,2.8169
2000-04-24,-1.3699
2000-04-25,0.0
2000-04-26,0.0
2000-04-27,-0.6944
2000-04-28,4.8951
2000-05-01,0.0
2000-05-02,-2.0
2000-05-03,0.6803
2000-05-04,1.0135
2000-05-05,0.3344
2000-05-08,-2.0
2000-05-09,0.0
2000-05-10,-3.4013999999999998
2000-05-11,-8.8028
2000-05-12,-3.4749
2000-05-15,-8.0
2000-05-16,-2.6087
2000-05-17,1.7856999999999998
2000-05-18,-7.0175
2000-05-19,-0.9434
2000-05-22,2.8571
2000-05-23,-1.8519
