ticker,SLBG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-24,0.0
2019-06-25,2.5
2019-07-17,21.9512
2019-08-15,20.0
2019-08-28,0.0
2019-08-29,166.6667
2019-12-31,-28.125
2020-01-02,-13.0435
2020-01-03,-10.0
2020-01-06,-11.1111
2020-01-13,-6.25
2020-01-17,6.6667
2020-01-21,-10.0
2020-01-22,-13.8889
2020-01-29,-4.8387
2020-02-04,-16.9492
2020-02-07,-4.0816
2020-02-10,-4.2553
2020-02-11,0.0
2020-02-12,0.0
2020-02-18,-2.2222
2020-02-19,-9.0909
2020-02-21,25.0
2020-02-24,-12.0
2020-02-25,7.2727
2020-02-26,-6.7797
2020-03-02,0.0
2020-03-03,-6.3636
2020-03-04,-20.3883
2020-03-05,0.0
2020-03-09,2.439
2020-03-11,14.2857
2020-03-16,-14.5833
2020-03-17,-9.7561
2020-03-19,8.1081
2020-03-24,-17.5
2020-03-31,9.0909
2020-04-02,0.0
2020-04-06,9.7917
2020-04-08,-8.9184
2020-04-09,66.6389
2020-04-13,-33.3222
2020-04-14,0.0
2020-04-15,0.0
2020-04-17,-17.5
2020-04-20,9.0909
2020-04-21,-2.7778
2020-04-22,5.7143
2020-04-23,-10.8108
2020-04-24,6.0606
2020-04-27,2.8571
2020-04-29,-16.6667
2020-04-30,0.0
2020-05-01,-10.0
2020-05-06,0.0
2020-05-07,22.2222
2020-05-08,-3.0303
2020-05-11,-6.25
2020-05-12,-3.3333
2020-05-14,-6.8966
2020-05-18,-7.4074
2020-05-19,-20.0
2020-05-20,0.0
2020-05-21,50.0
2020-05-22,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,13.3333
2020-05-29,-7.9412
2020-06-01,-0.9585
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,-0.0323
2020-06-05,0.0323
2020-06-08,0.0
2020-06-09,-8.0645
2020-06-10,7.0175
2020-06-11,-6.5574
2020-06-12,8.7719
2020-06-15,-6.4193999999999996
2020-06-16,6.8597
2020-06-17,0.0
2020-06-18,-1.6129
2020-06-19,-1.6393
2020-06-22,0.0
2020-06-23,-3.3333
2020-06-25,1.7241
2020-06-26,-13.3898
2020-06-29,5.6751000000000005
2020-06-30,2.7778
2020-07-01,8.1081
2020-07-02,-16.6667
2020-07-06,20.0
2020-07-07,0.0
2020-07-08,10.0
2020-07-09,-9.0909
2020-07-10,7.3333
2020-07-13,5.5901
2020-07-14,5.8824
2020-07-15,-17.2222
2020-07-16,-8.0537
2020-07-17,5.1095
2020-07-20,-2.7778
2020-07-21,2.8571
2020-07-22,25.0
2020-07-23,13.8889
2020-07-24,-2.439
2020-07-27,-12.4875
2020-07-28,8.5559
2020-07-29,-2.6579
2020-07-30,6.7856
2020-07-31,0.0
