ticker,ALKS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.8167999999999997
2000-01-04,-5.8824
2000-01-05,2.8646000000000003
2000-01-06,5.1899
2000-01-07,13.5981
2000-01-10,8.8983
2000-01-11,-3.5019
2000-01-12,0.2016
2000-01-13,3.6217
2000-01-14,7.0874
2000-01-18,5.893
2000-01-19,0.7705
2000-01-20,5.3526
2000-01-21,-0.8065
2000-01-24,-4.065
2000-01-25,1.0169
2000-01-26,-1.3423
2000-01-27,-0.7653
2000-01-28,-3.3419
2000-01-31,-5.9397
2000-02-01,8.9538
2000-02-02,4.6713000000000005
2000-02-03,8.9256
2000-02-04,4.7041
2000-02-07,9.5652
2000-02-08,17.4603
2000-02-09,-3.3784
2000-02-10,12.8205
2000-02-11,4.1839
2000-02-14,-3.8176
2000-02-15,-0.3093
2000-02-16,15.9255
2000-02-17,20.4282
2000-02-18,7.8519
2000-02-22,-8.9973
2000-02-23,-0.5283
2000-02-24,2.1624
2000-02-25,3.5277
2000-02-28,3.0129
2000-02-29,6.8942
2000-03-01,2.215
2000-03-02,-3.6329000000000002
2000-03-03,-1.5873
2000-03-06,4.1667
2000-03-07,-6.4516
2000-03-08,-12.5517
2000-03-09,-6.9795
2000-03-10,-3.0945
2000-03-13,-9.7113
2000-03-14,-12.4031
2000-03-15,-0.9956
2000-03-16,-6.2011
2000-03-17,-4.4074
2000-03-20,-13.7695
2000-03-21,10.4046
2000-03-22,10.2094
2000-03-23,-3.0879
2000-03-24,1.2868
2000-03-27,9.8609
2000-03-28,-4.4053
2000-03-29,-14.8041
2000-03-30,-3.5159000000000002
2000-03-31,3.7141
2000-04-03,-6.6892
2000-04-04,-3.5482
2000-04-05,3.2282
2000-04-06,2.5455
2000-04-07,-0.3546
2000-04-10,-5.694
2000-04-11,-18.6415
2000-04-12,-4.6382
2000-04-13,1.1673
2000-04-14,-10.5769
2000-04-17,-7.957
2000-04-18,10.2804
2000-04-19,2.5423999999999998
2000-04-20,-15.186
2000-04-24,-7.9172
2000-04-25,10.8466
2000-04-26,-5.9666
2000-04-27,0.7614
2000-04-28,7.3048
2000-05-01,32.6291
2000-05-02,-7.5221
2000-05-03,-7.7512
2000-05-04,3.0083
2000-05-05,9.567
2000-05-08,-11.0294
2000-05-09,-8.9876
2000-05-10,-8.1725
2000-05-11,20.6428
2000-05-12,-1.8443
2000-05-15,-2.5052
2000-05-16,28.9079
2000-05-17,-6.9767
2000-05-18,-5.3571
2000-05-19,3.3962
