ticker,VIEWF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,12.5
2000-01-06,-11.1111
2000-01-07,-5.7692
2000-01-10,-2.0408
2000-01-11,15.625
2000-01-12,4.5045
2000-01-14,-10.3448
2000-01-21,15.3846
2000-01-24,-3.3333
2000-01-26,0.0
2000-01-27,-2.5862
2000-01-28,-3.5398
2000-02-03,-0.9174
2000-02-04,1.8519
2000-02-08,-1.8182
2000-02-09,-11.1111
2000-02-14,2.0833
2000-02-15,14.2857
2000-02-16,7.1429
2000-02-24,-8.3333
2000-02-25,-15.4545
2000-02-29,-1.0753
2000-03-02,0.0
2000-03-03,4.3478
2000-03-07,0.0
2000-03-08,8.3333
2000-03-14,-11.538499999999999
2000-03-16,17.3913
2000-03-17,-11.1111
2000-03-20,10.4167
2000-03-22,-9.434
2000-03-23,0.0
2000-03-29,0.0
2000-03-30,6.25
2000-03-31,1.9607999999999999
2000-04-03,0.9615
2000-04-04,0.0
2000-04-06,14.2857
2000-04-07,6.6667
2000-04-10,0.0
2000-04-11,-10.1563
2000-04-12,-14.7826
2000-04-14,0.0
2000-04-17,6.1224
2000-04-18,7.6923
2000-04-27,-10.7143
2000-04-28,-4.0
2000-05-08,-25.0
2000-05-11,33.3333
2000-05-12,-12.5
2000-05-16,0.0
2000-05-19,-19.0476
2000-05-22,1.4706000000000001
2000-06-06,-1.4493
2000-06-15,0.0
2000-06-19,0.0
2000-06-20,-10.2941
2000-06-26,-8.1967
2000-07-13,14.2857
2000-07-20,-21.875
2000-07-28,0.0
2000-08-18,0.0
2000-08-24,0.0
2000-08-30,-36.0
2000-08-31,-50.0
2000-09-15,102.0
2000-09-28,-20.7921
2000-10-04,2.5
2000-10-09,34.1463
2000-10-10,-9.0909
2000-10-11,-20.0
2000-10-17,0.0
2000-10-25,25.0
2000-10-26,-10.0
2000-10-27,0.0
2000-10-30,-11.1111
2000-11-01,12.5
2000-11-02,-5.5556
2000-11-14,5.8824
2000-11-21,11.1111
2000-11-24,0.0
2000-11-27,-10.0
2000-11-28,11.1111
2000-11-29,-6.25
2000-12-07,6.6667
2000-12-12,0.0
2000-12-13,0.0
2000-12-18,-10.0
2000-12-19,-3.3333
2000-12-20,-4.5977
2000-12-21,-37.3494
2000-12-22,3.8462
2000-12-26,11.1111
2000-12-27,-6.6667
2000-12-28,23.2143
2001-01-02,8.6957
2001-01-03,0.0
2001-01-18,20.0
2001-01-19,13.3333
2001-01-31,-16.6667
2001-02-01,18.8235
