ticker,CGA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-11-25,-90.0
2008-02-20,16309.8539
2008-04-10,100.0
2008-04-14,0.0
2008-04-15,0.0
2008-04-16,0.0
2008-04-17,20.0
2008-04-18,0.0
2008-04-21,0.0
2008-04-22,8.3333
2008-04-24,7.6923
2008-04-25,7.1429
2008-04-29,0.0
2008-04-30,-6.6667
2008-06-11,0.0
2008-06-12,-3.5714
2008-06-13,3.7037
2008-06-16,-7.1429
2008-06-19,15.3846
2008-06-23,-3.3333
2008-06-25,0.0
2008-08-07,-87.069
2008-08-08,-20.0
2008-08-11,-1.6667
2008-08-12,-3.3898
2008-08-13,-1.7544
2008-08-14,-1.7856999999999998
2008-08-15,3.6364
2008-08-18,0.0
2008-08-19,0.0
2008-08-20,-8.7719
2008-08-21,9.6154
2008-08-22,-1.7544
2008-08-25,5.3571
2008-08-26,-1.6949
2008-08-27,0.0
2008-08-28,25.8621
2008-08-29,-1.6438000000000001
2008-09-02,-5.2925
2008-09-03,-2.9412000000000003
2008-09-04,3.0303
2008-09-05,2.6471
2008-09-08,4.5845
2008-09-09,-7.1233
2008-09-10,-2.9499
2008-09-11,-3.0395
2008-09-12,2.5078
2008-09-15,1.5291000000000001
2008-09-16,-0.6024
2008-09-17,-1.5152
2008-09-18,0.6154
2008-09-19,-11.315
2008-09-22,-1.7241
2008-09-23,5.2632
2008-09-24,-6.6667
2008-09-25,1.7856999999999998
2008-09-26,3.5088
2008-09-29,-1.6949
2008-09-30,6.2069
2008-10-01,-2.5974
2008-10-02,0.0
2008-10-03,-3.3333
2008-10-06,-12.069
2008-10-07,-9.8039
2008-10-09,17.3913
2008-10-10,-1.8519
2008-10-13,7.5472
2008-10-14,-3.5088
2008-10-15,0.0
2008-10-16,-3.6364
2008-10-17,-1.8868
2008-10-20,0.0
2008-10-21,-1.5385
2008-10-22,7.4219
2008-10-23,-5.0909
2008-10-24,-4.2146
2008-10-27,-0.8
2008-10-28,0.8065
2008-10-29,0.0
2008-10-30,1.6
2008-10-31,-3.5433
2008-11-03,2.449
2008-11-04,-2.7888
2008-11-05,-0.4098
2008-11-06,-2.0576
2008-11-07,-5.042
2008-11-10,8.4071
2008-11-11,0.4082
2008-11-12,-5.2846
2008-11-13,8.1545
2008-11-14,-1.5873
2008-11-17,-3.2258
2008-11-18,0.0
2008-11-19,-8.3333
2008-11-20,-3.6364
2008-11-21,3.7736
2008-11-24,2.2727
2008-11-25,-0.8889
2008-11-26,0.8969
