ticker,PYPD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-26,18.75
2020-06-29,-0.0526
2020-06-30,-5.0553
2020-07-01,-8.0422
2020-07-02,4.5235
2020-07-06,-11.7715
2020-07-07,-1.5697
2020-07-08,-7.2425
2020-07-09,-0.0716
2020-07-10,1.5053999999999998
2020-07-13,4.9435
2020-07-14,-2.4899
2020-07-15,1.9324
2020-07-16,7.109
2020-07-17,-0.885
2020-07-20,-0.4464
2020-07-21,2.4984
2020-07-22,5.625
2020-07-23,-5.2071
2020-07-24,0.7491
2020-07-27,0.6815
2020-07-28,-2.0923
2020-07-29,-0.7857
2020-07-30,-4.9731
2020-07-31,-6.8
