ticker,EPSN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-16,-5.652
2007-11-20,0.327
2007-11-21,0.0
2007-11-27,-5.1344
2007-11-30,-1.2468
2007-12-06,-7.3171
2007-12-07,0.6308
2007-12-10,-0.4115
2007-12-12,-1.5137
2007-12-14,-2.4506
2007-12-17,-0.5205
2007-12-18,-3.4849
2007-12-19,0.5359
2007-12-20,0.0479
2007-12-21,0.5556
2007-12-27,1.3514
2007-12-31,-5.4173
2008-01-03,5.1986
2008-01-04,-0.4638
2008-01-07,6.7172
2008-01-09,-3.0912
2008-01-10,-1.7584
2008-01-11,-0.1096
2008-01-14,1.0015
2008-01-15,-1.5025
2008-01-16,-2.5036
2008-01-17,4.5241
2008-01-18,-5.8993
2008-01-22,-20.017
2008-01-23,-0.3408
2008-01-24,5.6209
2008-01-25,4.7703
2008-01-28,0.437
2008-01-29,-7.9874
2008-01-30,6.0737
2008-01-31,-9.4102
2008-02-04,-0.9569
2008-02-05,-1.1858
2008-02-11,53.7778
2008-02-13,-12.8848
2008-02-14,-9.8928
2008-02-19,3.866
2008-02-21,3.9303
2008-02-22,-7.0561
2008-02-27,8.7959
2008-03-05,-5.9197
2008-03-07,3.6211
2008-03-18,-22.6759
2008-03-20,-12.1179
2008-03-26,1.833
2008-03-27,8.7156
2008-03-28,-0.207
2008-03-31,-8.1257
2008-04-01,25.6584
2008-04-02,0.0
2008-04-03,28.1437
2008-04-07,-10.6192
2008-04-10,2.6271
2008-04-11,-0.0467
2008-04-14,-3.368
2008-04-15,9.5772
2008-04-17,-2.7396000000000003
2008-04-18,-6.2686
2008-04-21,-6.9914
2008-04-24,6.6772
2008-05-01,2.419
2008-05-02,-2.7256
2008-05-05,-3.3049
2008-05-08,13.1237
2008-05-09,19.7965
2008-05-13,-4.0931
2008-05-14,7.6395
2008-05-15,10.8186
2008-05-16,9.3587
2008-05-20,11.6095
2008-05-21,-3.2232
2008-05-22,-9.5795
2008-05-23,6.0047
2008-05-27,0.3462
2008-05-28,15.5551
2008-05-29,-3.7147
2008-05-30,0.532
2008-06-02,3.3551
2008-06-03,4.112
2008-06-04,5.1438
2008-06-05,2.0878
2008-06-06,-0.0809
2008-06-09,-0.8969
2008-06-10,-6.1448
2008-06-11,6.3904
2008-06-12,18.7398
2008-06-13,4.0248
2008-06-16,2.0116
2008-06-17,4.9902
2008-06-18,9.6251
2008-06-19,-6.8827
2008-06-20,4.3494
2008-06-23,-6.4591
2008-06-24,-4.9091000000000005
