ticker,CQP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-21,3.3810000000000002
2007-03-22,-0.1842
2007-03-23,0.3692
2007-03-26,-2.5286999999999997
2007-03-27,0.2358
2007-03-28,-1.1294
2007-03-29,0.8091
2007-03-30,0.8026
2007-04-02,-0.6557
2007-04-03,-0.943
2007-04-04,0.8567
2007-04-05,0.0472
2007-04-09,-0.1415
2007-04-10,-0.3307
2007-04-11,0.5213
2007-04-12,0.0
2007-04-13,-0.0471
2007-04-16,0.9434
2007-04-17,1.6822
2007-04-18,-0.7353
2007-04-19,-0.6944
2007-04-20,0.2331
2007-04-23,-1.1628
2007-04-24,0.2353
2007-04-25,0.1408
2007-04-26,1.9691
2007-04-27,-0.1011
2007-04-30,-2.6267
2007-05-01,-3.6914
2007-05-02,0.5897
2007-05-03,1.8564
2007-05-04,0.0
2007-05-07,0.2398
2007-05-08,0.4306
2007-05-09,0.0
2007-05-10,-0.9052
2007-05-11,-0.2404
2007-05-14,-1.4458
2007-05-15,-1.8582
2007-05-16,2.1923
2007-05-17,0.2438
2007-05-18,-0.0973
2007-05-21,0.1947
2007-05-22,-0.826
2007-05-23,-0.049
2007-05-24,-0.2451
2007-05-25,0.2457
2007-05-29,-0.0006
2007-05-30,-0.4896
2007-05-31,-0.936
2007-06-01,0.547
2007-06-04,-0.0989
2007-06-05,-0.2475
2007-06-06,-0.1985
2007-06-07,-0.8454
2007-06-08,0.7021
2007-06-11,-0.0498
2007-06-12,-0.1993
2007-06-13,-0.0999
2007-06-14,0.0
2007-06-15,0.05
2007-06-18,0.0
2007-06-19,-0.1499
2007-06-20,-1.1506
2007-06-21,-1.7713
2007-06-22,-0.9274
2007-06-25,-2.1321
2007-06-26,-1.7003
2007-06-27,2.9189
2007-06-28,1.0504
2007-06-29,1.3514
2007-07-02,0.359
2007-07-03,1.6863000000000001
2007-07-05,-0.1005
2007-07-06,-3.0181
2007-07-09,-1.4523
2007-07-10,0.0
2007-07-11,3.1579
2007-07-12,-1.0204
2007-07-13,0.6186
2007-07-16,-2.2029
2007-07-17,1.6763
2007-07-18,-2.473
2007-07-19,2.1659
2007-07-20,-0.6722
2007-07-23,1.5096
2007-07-24,0.7692
2007-07-25,0.1527
2007-07-26,-1.8801
2007-07-27,0.3107
2007-07-30,0.3872
2007-07-31,-2.1556
2007-08-01,-0.5911
2007-08-02,-0.0541
2007-08-03,-0.3245
2007-08-06,-5.4259
2007-08-07,3.2129
2007-08-08,2.8349
2007-08-09,-2.7568
